block_group_geoid,population,lat,lon
420030103011,1807,40.434602,-79.993324
420030103021,1599,40.435932,-79.989118
420030103021,1043,40.436232,-79.993266
420030103021,592,40.437587,-79.992844
420030103021,53,40.438604,-79.992094
420030103021,22,40.437571,-79.993665
420030103021,17,40.438528,-79.989633
420030103022,97,40.438124,-79.980423
420030103022,89,40.437969,-79.976796
420030103022,56,40.436861,-79.982098
420030103022,45,40.437681,-79.980450
420030103022,43,40.437749,-79.982036
420030103022,39,40.436790,-79.980517
420030103022,38,40.436586,-79.976980
420030103022,32,40.437523,-79.976824
420030103022,30,40.436239,-79.980635
420030103022,29,40.437304,-79.982067
420030103022,26,40.438364,-79.985769
420030103022,24,40.437064,-79.976863
420030103022,21,40.438308,-79.984606
420030103022,21,40.437811,-79.983421
420030103022,21,40.436414,-79.982135
420030103022,19,40.437601,-79.978605
420030103022,18,40.437442,-79.975219
420030103022,17,40.437237,-79.980485
420030103022,15,40.437362,-79.983460
420030103022,15,40.437221,-79.984714
420030103022,14,40.438046,-79.978564
420030103022,11,40.436537,-79.978739
420030103022,9,40.438255,-79.983376
420030103022,6,40.437156,-79.978638
420030103022,6,40.436861,-79.974281
420030103022,4,40.436995,-79.975240
420030103022,3,40.436040,-79.985589
420030103022,1,40.437872,-79.975181
420030201001,458,40.438475,-80.001314
420030201001,379,40.440586,-80.005405
420030201001,183,40.438795,-80.000590
420030201001,149,40.437835,-80.001240
420030201001,146,40.438543,-80.004877
420030201001,116,40.439408,-80.000190
420030201001,75,40.437702,-80.002619
420030201001,60,40.438242,-80.002302
420030201001,58,40.436809,-80.000270
420030201001,23,40.439559,-80.004175
420030201001,22,40.439707,-80.003006
420030201001,20,40.440007,-80.001859
420030201001,20,40.437336,-79.999921
420030201001,15,40.438556,-80.003168
420030201001,14,40.438794,-80.002137
420030201001,8,40.440583,-80.003481
420030201001,8,40.438145,-80.000436
420030201001,6,40.439070,-80.004519
420030201001,3,40.441427,-80.007969
420030201002,367,40.442293,-80.005789
420030201002,263,40.443834,-80.000805
420030201002,204,40.443117,-80.001793
420030201002,165,40.442217,-80.002427
420030201002,97,40.441713,-80.004312
420030201002,15,40.442579,-80.001021
420030201002,13,40.441943,-80.003423
420030201002,10,40.443238,-80.002907
420030201003,267,40.441529,-79.996769
420030201003,114,40.439566,-79.998414
420030201003,102,40.443528,-79.995409
420030201003,96,40.441609,-80.000747
420030201003,59,40.441235,-80.002443
420030201003,42,40.441447,-79.998822
420030201003,13,40.440875,-80.002677
420030201003,9,40.440766,-79.999279
420030201003,5,40.443027,-79.996008
420030201003,2,40.440087,-79.999735
420030201003,1,40.440662,-80.001277
420030201004,86,40.439854,-79.995767
420030201004,21,40.436507,-79.997918
420030201004,20,40.436758,-79.999213
420030201004,8,40.436170,-79.996895
420030201004,4,40.440494,-79.994077
420030201004,3,40.435034,-79.995181
