day,klass,length_m,geometry
weekday,kept,1432.9,"-79.91088,40.45597 -79.91055,40.45575 -79.91217,40.4542 -79.91234,40.45407 -79.91252,40.4541 -79.92091,40.45989 -79.92188,40.4604 -79.92274,40.46068"
weekday,added,479.8,"-79.92262,40.46082 -79.9201,40.46468"
weekday,kept,79.8,"-79.92,40.46484 -79.91954,40.46546"
weekday,added,1019.4,"-79.91944,40.46562 -79.91903,40.46606 -79.91821,40.46641 -79.91465,40.46736 -79.91175,40.46856 -79.91097,40.46897 -79.90969,40.47002 -79.90929,40.4702"
weekday,kept,4939.9,"-79.90906,40.47023 -79.90859,40.47024 -79.90853,40.4704 -79.90785,40.47935 -79.90806,40.4824 -79.90787,40.48418 -79.90877,40.48497 -79.91134,40.48586 -79.91291,40.48625 -79.91311,40.48633 -79.91316,40.4865 -79.91034,40.4924 -79.90993,40.49243 -79.9087,40.49135 -79.90737,40.49062 -79.89542,40.48725 -79.89427,40.48703 -79.89335,40.48882 -79.893,40.48904 -79.88991,40.4882 -79.88972,40.48809 -79.88981,40.48776"
weekday,added,371.7,"-79.88989,40.48759 -79.89011,40.48711 -79.89007,40.48663 -79.88842,40.48669 -79.88704,40.48695"
weekday,kept,17367.9,"-79.88681,40.48698 -79.88031,40.48788 -79.87634,40.48902 -79.86973,40.49034 -79.86599,40.49144 -79.85885,40.49495 -79.85317,40.49926 -79.85244,40.50018 -79.85191,40.50137 -79.85149,40.50277 -79.85129,40.50438 -79.85141,40.50581 -79.85287,40.51472 -79.85288,40.51562 -79.85234,40.52009 -79.85156,40.524 -79.84993,40.52943 -79.84912,40.53072 -79.84811,40.53172 -79.84148,40.53603 -79.83961,40.53679 -79.83483,40.53778 -79.83475,40.53792 -79.83546,40.54019 -79.83534,40.54034 -79.83447,40.54061 -79.83125,40.54105 -79.83039,40.53864 -79.83015,40.53863 -79.82859,40.53903 -79.82605,40.53998 -79.82513,40.54011 -79.8223,40.54022 -79.82007,40.54081 -79.81915,40.54094 -79.81797,40.54094 -79.81376,40.54051 -79.81164,40.54047 -79.80602,40.54102 -79.8013,40.5411 -79.79953,40.54155 -79.79537,40.54095 -79.78759,40.54125 -79.78406,40.54106 -79.78241,40.54109 -79.77888,40.54129 -79.77405,40.54212 -79.77218,40.54321 -79.77112,40.54416 -79.77062,40.54536 -79.76999,40.54891 -79.77161,40.55781 -79.77222,40.55936 -79.77418,40.56321 -79.77423,40.56355 -79.77408,40.56368 -79.77075,40.5646 -79.76612,40.56527"
weekday,added,297.0,"-79.76589,40.56531 -79.7652,40.56541 -79.76485,40.56399 -79.76575,40.56384"
weekday,kept,160.0,"-79.76595,40.56383 -79.76628,40.56525"
weekday,kept,5393.3,"-79.77424,40.56369 -79.77452,40.56395 -79.77624,40.56806 -79.77907,40.58008 -79.77886,40.58132 -79.77618,40.58765 -79.77559,40.58842 -79.77159,40.5922 -79.76879,40.59509 -79.76533,40.59779 -79.76092,40.6002 -79.76074,40.60025 -79.75958,40.59915 -79.75802,40.59994 -79.75409,40.60159"
weekday,added,160.0,"-79.7539,40.60161 -79.75301,40.60035"
weekday,kept,233.9,"-79.7529,40.60019 -79.75262,40.59999 -79.75046,40.60069"
weekday,added,1600.6,"-79.75024,40.60077 -79.74602,40.60237 -79.74253,40.60284 -79.7397,40.60292 -79.73861,40.6031 -79.73949,40.60476 -79.74349,40.60356"
weekday,added,80.0,"-79.74361,40.60347 -79.74317,40.60283"
weekday,kept,20.0,"-79.82231,40.54032 -79.82254,40.54029"
weekday,kept,100.0,"-79.82348,40.54024 -79.82466,40.54021"
weekday,kept,39.4,"-79.82994,40.53878 -79.83038,40.53865"
weekday,kept,19.7,"-79.83484,40.53786 -79.83507,40.53783"
weekday,kept,20.0,"-79.83599,40.53766 -79.83622,40.53761"
weekday,kept,60.0,"-79.83805,40.53727 -79.83874,40.53714"
weekday,kept,20.0,"-79.83942,40.537 -79.83964,40.53694"
weekday,kept,19.9,"-79.84109,40.53635 -79.84127,40.53623"
weekday,kept,20.0,"-79.86855,40.49073 -79.86878,40.49068"
weekday,kept,339.5,"-79.86924,40.49062 -79.87036,40.49086 -79.87106,40.49082 -79.87148,40.49066 -79.87269,40.48981"
weekday,kept,335.2,"-79.88675,40.48701 -79.88681,40.48786 -79.88846,40.48782 -79.8896,40.48802"
weekday,kept,20.0,"-79.90838,40.49119 -79.90853,40.49133"
weekday,kept,296.2,"-79.9099,40.49256 -79.91083,40.49309 -79.91081,40.49342 -79.9104,40.49353 -79.9101,40.49329 -79.91039,40.49261"
weekday,kept,20.0,"-79.91184,40.48958 -79.91192,40.48941"
weekday,kept,20.0,"-79.91273,40.48772 -79.91281,40.48755"
