radius_m,cell_m,tier,current_km2,proposed_km2,net_km2,net_pct,lost_km2,gained_km2,retained_km2
400,100,WEEK-ANY-MINIMUM,460.45,405.06,-55.39,-12.0,80.14,24.75,380.31
400,100,WEEKDAYS-ANY-MINIMUM,460.26,405.06,-55.2,-12.0,80.14,24.94,380.12
400,100,WEEKENDS-ANY-MINIMUM,381.42,364.05,-17.37,-4.6,52.68,35.31,328.74
400,100,WEEK-ANY-HOURLY,313.27,321.41,8.14,2.6,59.57,67.71,253.7
400,100,WEEKEND-ANY-HOURLY,204.44,246.88,42.44,20.8,30.17,72.61,174.27
150,100,WEEK-ANY-MINIMUM,176.28,152.43,-23.85,-13.5,35.43,11.58,140.85
150,100,WEEKDAYS-ANY-MINIMUM,176.2,152.43,-23.77,-13.5,35.42,11.65,140.78
150,100,WEEKENDS-ANY-MINIMUM,147.96,138.88,-9.08,-6.1,24.61,15.53,123.35
150,100,WEEK-ANY-HOURLY,118.59,119.76,1.17,1.0,26.5,27.67,92.09
150,100,WEEKEND-ANY-HOURLY,76.42,89.54,13.12,17.2,15.64,28.76,60.78
