tier,side,km2,place,n_places,also,nearest_stop,nearest_stop_m,lat,lon
WEEK-ANY-MINIMUM,lost,12.01,"McCandless township (Allegheny, PA)",3,"Ross township (Allegheny, PA);Hampton township (Allegheny, PA)",MCINTYRE DR + THOMPSON RUN FS,627,40.55772,-79.99571
WEEK-ANY-MINIMUM,lost,7.77,"Plum borough (Allegheny, PA)",3,"Penn Hills township (Allegheny, PA);Monroeville municipality (Allegheny, PA)",UNITY TRESTLE RD + ASHLAND DR,589,40.48208,-79.77576
WEEK-ANY-MINIMUM,lost,5.67,"Baldwin borough (Allegheny, PA)",3,"South Park township (Allegheny, PA);Whitehall borough (Allegheny, PA)",CURRY RD + HORNING,416,40.33647,-79.99621
WEEK-ANY-MINIMUM,lost,4.94,"Kennedy township (Allegheny, PA)",2,"Neville township (Allegheny, PA)",CORAOPOLIS RD + HWY RT 51,209,40.49165,-80.11413
WEEK-ANY-MINIMUM,lost,4.9,"Mount Lebanon township (Allegheny, PA)",2,"Bethel Park municipality (Allegheny, PA)",GALLERIA STOREFRONT + SOUTHEAST ENTRANCE,374,40.35546,-80.05617
WEEK-ANY-MINIMUM,lost,4.65,"Baldwin borough (Allegheny, PA)",3,"Carrick;Brentwood borough (Allegheny, PA)",CHURCHVIEW AVE + VILLAGE DR,480,40.39032,-79.96256
WEEK-ANY-MINIMUM,lost,4.49,"Reserve township (Allegheny, PA)",4,"Ross township (Allegheny, PA);Spring Garden;Summer Hill",MT TROY RD + #3222,213,40.48641,-79.99419
WEEK-ANY-MINIMUM,lost,2.37,"North Versailles township (Allegheny, PA)",1,,LINCOLN HWY + MCKEE,23,40.37322,-79.79263
WEEK-ANY-MINIMUM,lost,2.08,"Scott township (Allegheny, PA)",3,"Bridgeville borough (Allegheny, PA);Collier township (Allegheny, PA)",BOWER HILL RD AT BEDNERS FARM MARKET,352,40.36372,-80.09303
WEEK-ANY-MINIMUM,lost,1.94,"West Mifflin borough (Allegheny, PA)",2,"McKeesport city (Allegheny, PA)",HOMEVILLE RD AT DUQUESNE VILLAGE ENTRANCE #1,187,40.36857,-79.8718
WEEK-ANY-MINIMUM,lost,1.79,"Trafford borough (Westmoreland, PA)",2,"Trafford borough (Allegheny, PA)",FOREST AVE + 7TH ST,224,40.38825,-79.75477
WEEK-ANY-MINIMUM,lost,1.78,"Oakmont borough (Allegheny, PA)",1,,HULTON RD + THE FAIRWAYS,230,40.52536,-79.82436
WEEK-ANY-MINIMUM,lost,1.43,"Penn Hills township (Allegheny, PA)",1,,CHASKE ST + BRAMBLE,69,40.47378,-79.86571
WEEK-ANY-MINIMUM,lost,1.38,"Scott township (Allegheny, PA)",2,"Mount Lebanon township (Allegheny, PA)",LINDSAY RD + CHERRYTREE,235,40.38472,-80.07659
WEEK-ANY-MINIMUM,lost,1.25,"McCandless township (Allegheny, PA)",2,"Ross township (Allegheny, PA)",PERRY HWY OPP WASHINGTON BLVD,82,40.55186,-80.0382
WEEK-ANY-MINIMUM,lost,1.17,"White Oak borough (Allegheny, PA)",1,,LONG RUN RD + SUNSET,97,40.3354,-79.8104
WEEK-ANY-MINIMUM,lost,0.97,"McCandless township (Allegheny, PA)",1,,PERRY HWY AT CUMBERLAND RD,290,40.56922,-80.03746
WEEK-ANY-MINIMUM,lost,0.95,"Harrison township (Allegheny, PA)",1,,FREEPORT RD + OAK MANOR,252,40.65341,-79.70771
WEEK-ANY-MINIMUM,lost,0.9,"Harrison township (Allegheny, PA)",1,,BAKERSTOWN RD + BP ENTRANCE FS,208,40.66734,-79.70942
WEEK-ANY-MINIMUM,lost,0.85,"McKeesport city (Allegheny, PA)",2,"Versailles borough (Allegheny, PA)",LONG RUN RD + LOU WASHOWICH WAY,209,40.32262,-79.82332
WEEK-ANY-MINIMUM,lost,0.81,"Plum borough (Allegheny, PA)",1,,FIESTA DR + RIVIERA,139,40.47393,-79.70784
WEEK-ANY-MINIMUM,lost,0.78,"Neville township (Allegheny, PA)",2,"Coraopolis borough (Allegheny, PA)",LEWIS AVE + #1236,126,40.50548,-80.14097
WEEK-ANY-MINIMUM,lost,0.7,Bon Air,3,Knoxville;Beltzhoover,CAMFIELD ST + CALLE,62,40.40837,-79.99867
WEEK-ANY-MINIMUM,lost,0.68,"Kennedy township (Allegheny, PA)",2,"McKees Rocks borough (Allegheny, PA)",CHARTIERS AVE EXT + #1536,79,40.46753,-80.08251
WEEK-ANY-MINIMUM,lost,0.68,"McCandless township (Allegheny, PA)",1,,BLAZIER DR + TARGET ENTRANCE DRIVE,119,40.5858,-80.03979
WEEK-ANY-MINIMUM,lost,0.67,"North Versailles township (Allegheny, PA)",1,,JACKS RUN RD + MCKEESPORT SPORTSMENS ASSOC,89,40.35938,-79.7859
WEEK-ANY-MINIMUM,lost,0.65,Lincoln-Lemington-Belmar,1,,HIGHLAND DR + JOB CORPS DR,109,40.47725,-79.89883
WEEK-ANY-MINIMUM,lost,0.62,"White Oak borough (Allegheny, PA)",1,,JACKS RUN RD + #3030,70,40.34443,-79.79744
WEEK-ANY-MINIMUM,lost,0.6,"Penn Hills township (Allegheny, PA)",1,,HULTON RD + HULTON ESTATES,18,40.51348,-79.80362
WEEK-ANY-MINIMUM,lost,0.55,"Ross township (Allegheny, PA)",1,,JACKS RUN RD EXT + YORK,103,40.49907,-80.03109
WEEK-ANY-MINIMUM,lost,0.52,"Sewickley borough (Allegheny, PA)",2,"Edgeworth borough (Allegheny, PA)",UNIVERSITY BLVD + STOOPS FERRY RD,11,40.53786,-80.20032
WEEK-ANY-MINIMUM,lost,0.48,"West Mifflin borough (Allegheny, PA)",1,,HWY RT 885 + HUSTON,67,40.33775,-79.9374
WEEK-ANY-MINIMUM,lost,0.48,"Brackenridge borough (Allegheny, PA)",3,"Tarentum borough (Allegheny, PA);Harrison township (Allegheny, PA)",PROSPECT ST + RESERVOIR DR,249,40.6122,-79.74882
WEEK-ANY-MINIMUM,lost,0.46,"Sewickley borough (Allegheny, PA)",1,,SEWICKLEY BRIDGE RAMP + KRAMER,99,40.53602,-80.18604
WEEK-ANY-MINIMUM,lost,0.45,"Mount Lebanon township (Allegheny, PA)",2,"Scott township (Allegheny, PA)",COCHRAN + ROBINWOOD,26,40.39118,-80.05958
WEEK-ANY-MINIMUM,lost,0.45,"Monroeville municipality (Allegheny, PA)",1,,MOSSIDE BLVD + MACBETH DR,39,40.42528,-79.75483
WEEK-ANY-MINIMUM,lost,0.4,"Whitehall borough (Allegheny, PA)",1,,PROVOST RD + WHITEHILL CIR,185,40.36778,-79.99154
WEEK-ANY-MINIMUM,lost,0.36,"Scott township (Allegheny, PA)",2,"Carnegie borough (Allegheny, PA)",CAROTHERS AVE + HILL,280,40.40062,-80.09159
WEEK-ANY-MINIMUM,lost,0.36,"Monroeville municipality (Allegheny, PA)",1,,MONROEVILLE BLVD AT IVANHOE DR,146,40.43268,-79.7643
WEEK-ANY-MINIMUM,lost,0.35,Chartiers City,2,Windgap,CHARTIERS AVE + KRUPP,72,40.45776,-80.07159
WEEK-ANY-MINIMUM,lost,0.35,"Monroeville municipality (Allegheny, PA)",1,,BEATTY RD + BEATTY POINTE VILLAGE,119,40.44645,-79.74635
WEEK-ANY-MINIMUM,lost,0.29,Chateau,1,,BRANCHPORT ST + PREBLE,250,40.45887,-80.03636
WEEK-ANY-MINIMUM,lost,0.28,"Ross township (Allegheny, PA)",1,,EVERGREEN RD + PEOPLES TWP,142,40.50505,-79.99699
WEEK-ANY-MINIMUM,lost,0.24,Chateau,1,,BEAVER AVE + NORTH POINTE,62,40.44906,-80.02687
WEEK-ANY-MINIMUM,lost,0.23,Squirrel Hill South,1,,BEECHWOOD BLVD + FOREST GLEN,172,40.43319,-79.91074
WEEK-ANY-MINIMUM,lost,0.23,"Monroeville municipality (Allegheny, PA)",2,"Wilkins township (Allegheny, PA)",MONROEVILLE PARK AND RIDE,172,40.42725,-79.79982
WEEK-ANY-MINIMUM,lost,0.22,"Braddock borough (Allegheny, PA)",2,"North Braddock borough (Allegheny, PA)",VERONA ST + MAPLEVIEW DR,222,40.399,-79.86109
WEEK-ANY-MINIMUM,lost,0.21,Brookline,1,,CHELTON AVE + FREEDOM,208,40.38675,-80.01392
WEEK-ANY-MINIMUM,lost,0.21,"North Versailles township (Allegheny, PA)",1,,CLYDE AVE + PORT PERRY RD,191,40.385,-79.83466
WEEK-ANY-MINIMUM,lost,0.18,"McCandless township (Allegheny, PA)",1,,INGOMAR RD + SARATOGA DR,232,40.582,-80.02794
