zone,zone_km2,fixed_route_km2_now,fixed_route_km2_proposed,lost_km2_inside,gained_km2_inside,vehicles_weekday,weekday_hours,service_day_patterns,hidden_in_remix
Airport Area,48.36,4.09,4.6,0.03,0.54,3,7:00-21:00,0000001;0000010;1111100,1
Highlands Area,15.34,7.42,7.44,1.12,1.14,2,7:00-21:00,0000001;0000010;1111100,1
McCandless,25.76,15.42,7.41,8.52,0.51,3,7:00-21:00,0000001;0000010;1111100,1
McKees Rocks,8.38,7.59,7.18,0.41,0.0,2,7:00-21:00,0000001;0000010;1111100,1
McKeesport,8.78,6.8,8.33,0.01,1.54,2,7:00-21:00,0000001;0000010;1111100,1
Penn Hills,28.75,15.13,14.52,2.23,1.62,3,7:00-21:00,0000001;0000010;1111100,1
Robinson,8.15,4.62,5.51,0.01,0.9,1,7:00-21:00,0000001;0000010;1111100,1
South Hilltop,14.63,11.62,6.63,4.99,0.0,3,7:00-21:00,0000001;0000010;1111100,1
South Side,7.14,6.11,6.1,0.01,0.0,2,7:00-21:00,0000001;0000010;1111100,1
USC-BP,10.51,1.02,0.0,1.02,0.0,1,7:00-21:00,0000001;0000010;1111100,1
