tier,place,net_km2
WEEK-ANY-MINIMUM,"Plum borough (Allegheny, PA)",-5.31
WEEK-ANY-MINIMUM,"North Versailles township (Allegheny, PA)",-3.2
WEEK-ANY-MINIMUM,Lincoln-Lemington-Belmar,-0.65
WEEK-ANY-MINIMUM,"Kennedy township (Allegheny, PA)",-4.91
WEEK-ANY-MINIMUM,"Duquesne city (Allegheny, PA)",-0.05
WEEK-ANY-MINIMUM,Spring Garden,-0.58
WEEK-ANY-MINIMUM,"Oakmont borough (Allegheny, PA)",-1.78
WEEK-ANY-MINIMUM,"McCandless township (Allegheny, PA)",-8.85
WEEK-ANY-MINIMUM,"Scott township (Allegheny, PA)",-2.28
WEEK-ANY-MINIMUM,"McKeesport city (Allegheny, PA)",0.33
WEEK-ANY-MINIMUM,Central Oakland,0.11
WEEK-ANY-MINIMUM,"Bethel Park municipality (Allegheny, PA)",-2.19
WEEK-ANY-MINIMUM,"Baldwin borough (Allegheny, PA)",-6.24
WEEK-ANY-MINIMUM,"Monroeville municipality (Allegheny, PA)",-1.09
WEEK-ANY-MINIMUM,"Ross township (Allegheny, PA)",-4.73
WEEK-ANY-MINIMUM,"South Park township (Allegheny, PA)",-2.26
WEEK-ANY-MINIMUM,"White Oak borough (Allegheny, PA)",-1.79
WEEK-ANY-MINIMUM,"Neville township (Allegheny, PA)",-1.2
WEEK-ANY-MINIMUM,"Reserve township (Allegheny, PA)",-2.76
WEEK-ANY-MINIMUM,"Penn Hills township (Allegheny, PA)",-3.34
WEEK-ANY-MINIMUM,"Harrison township (Allegheny, PA)",-1.57
WEEK-ANY-MINIMUM,"Trafford borough (Westmoreland, PA)",-1.38
WEEK-ANY-MINIMUM,"West Mifflin borough (Allegheny, PA)",-1.63
WEEK-ANY-MINIMUM,"Bridgeville borough (Allegheny, PA)",-1.09
WEEK-ANY-MINIMUM,"Trafford borough (Allegheny, PA)",-0.41
WEEK-ANY-MINIMUM,Bon Air,-0.61
WEEK-ANY-MINIMUM,"Mount Lebanon township (Allegheny, PA)",-3.03
WEEK-ANY-MINIMUM,Windgap,-0.08
WEEK-ANY-MINIMUM,"Tarentum borough (Allegheny, PA)",1.26
WEEK-ANY-MINIMUM,"Hampton township (Allegheny, PA)",-0.04
WEEK-ANY-MINIMUM,"Whitehall borough (Allegheny, PA)",-1.31
WEEK-ANY-MINIMUM,"Edgeworth borough (Allegheny, PA)",-0.15
WEEK-ANY-MINIMUM,Banksville,-0.07
WEEK-ANY-MINIMUM,Greenfield,-0.14
WEEK-ANY-MINIMUM,"Sewickley borough (Allegheny, PA)",-0.98
WEEK-ANY-MINIMUM,Squirrel Hill South,0.12
WEEK-ANY-MINIMUM,"Brackenridge borough (Allegheny, PA)",0.35
WEEK-ANY-MINIMUM,Chartiers City,-0.27
WEEK-ANY-MINIMUM,Perry South,-0.08
WEEK-ANY-MINIMUM,"Swissvale borough (Allegheny, PA)",-0.1
WEEK-ANY-MINIMUM,Point Breeze,-0.15
WEEK-ANY-MINIMUM,"McKees Rocks borough (Allegheny, PA)",-0.27
WEEK-ANY-MINIMUM,Mt. Oliver,-0.01
WEEK-ANY-MINIMUM,Mount Washington,-0.08
WEEK-ANY-MINIMUM,"Wilkins township (Allegheny, PA)",-0.05
WEEK-ANY-MINIMUM,Morningside,-0.07
WEEK-ANY-MINIMUM,Brookline,-0.09
WEEK-ANY-MINIMUM,Carrick,-0.76
WEEK-ANY-MINIMUM,Chateau,-0.54
WEEK-ANY-MINIMUM,"Braddock borough (Allegheny, PA)",-0.13
WEEK-ANY-MINIMUM,"North Fayette township (Allegheny, PA)",0.08
WEEK-ANY-MINIMUM,"O'Hara township (Allegheny, PA)",-0.07
WEEK-ANY-MINIMUM,"Sharpsburg borough (Allegheny, PA)",-0.06
WEEK-ANY-MINIMUM,"Versailles borough (Allegheny, PA)",-0.05
WEEK-ANY-MINIMUM,"Homestead borough (Allegheny, PA)",-0.07
WEEK-ANY-MINIMUM,"Millvale borough (Allegheny, PA)",0.68
WEEK-ANY-MINIMUM,Summer Hill,-0.44
WEEK-ANY-MINIMUM,"New Kensington city (Westmoreland, PA)",0.39
WEEK-ANY-MINIMUM,"Brentwood borough (Allegheny, PA)",-0.14
WEEK-ANY-MINIMUM,Knoxville,-0.06
WEEK-ANY-MINIMUM,"North Braddock borough (Allegheny, PA)",-0.09
WEEK-ANY-MINIMUM,"Wilkinsburg borough (Allegheny, PA)",-0.02
WEEK-ANY-MINIMUM,"Carnegie borough (Allegheny, PA)",0.2
WEEK-ANY-MINIMUM,"Churchill borough (Allegheny, PA)",0.03
WEEK-ANY-MINIMUM,"Green Tree borough (Allegheny, PA)",0.01
WEEK-ANY-MINIMUM,Beltzhoover,-0.03
WEEK-ANY-MINIMUM,"Etna borough (Allegheny, PA)",-0.02
WEEK-ANY-MINIMUM,Swisshelm Park,0.25
WEEK-ANY-MINIMUM,North Shore,-0.02
WEEK-ANY-MINIMUM,"Emsworth borough (Allegheny, PA)",-0.02
WEEK-ANY-MINIMUM,unplaced,3.52
WEEK-ANY-MINIMUM,"Harmar township (Allegheny, PA)",-0.03
WEEK-ANY-MINIMUM,"Collier township (Allegheny, PA)",0.0
WEEK-ANY-MINIMUM,Brighton Heights,-0.01
WEEK-ANY-MINIMUM,"East Pittsburgh borough (Allegheny, PA)",-0.02
WEEK-ANY-MINIMUM,"Moon township (Allegheny, PA)",0.52
WEEK-ANY-MINIMUM,"Coraopolis borough (Allegheny, PA)",-0.01
WEEK-ANY-MINIMUM,North Oakland,-0.01
WEEK-ANY-MINIMUM,Central Business District,-0.01
WEEK-ANY-MINIMUM,Polish Hill,-0.01
WEEK-ANY-MINIMUM,"Pitcairn borough (Allegheny, PA)",0.02
WEEK-ANY-MINIMUM,"Robinson township (Allegheny, PA)",1.63
WEEK-ANY-MINIMUM,"West View borough (Allegheny, PA)",1.15
WEEK-ANY-MINIMUM,"Pleasant Hills borough (Allegheny, PA)",0.05
WEEK-ANY-MINIMUM,Highland Park,0.54
WEEK-ANY-MINIMUM,"East Deer township (Allegheny, PA)",1.66
WEEK-ANY-MINIMUM,Ridgemont,0.31
WEEK-ANY-MINIMUM,"Shaler township (Allegheny, PA)",0.14
WEEK-ANY-MINIMUM,South Oakland,0.38
WEEK-ANY-MINIMUM,Overbrook,0.06
WEEK-ANY-MINIMUM,"East McKeesport borough (Allegheny, PA)",0.09
WEEK-ANY-MINIMUM,"Turtle Creek borough (Allegheny, PA)",0.03
WEEK-ANY-MINIMUM,"Dormont borough (Allegheny, PA)",0.05
WEEK-ANY-MINIMUM,"Dravosburg borough (Allegheny, PA)",0.02
WEEK-ANY-MINIMUM,Esplen,0.03
WEEK-ANY-MINIMUM,Sheraden,0.04
WEEK-ANY-MINIMUM,"Cheswick borough (Allegheny, PA)",0.01
WEEK-ANY-MINIMUM,Garfield,0.01
WEEK-ANY-MINIMUM,Troy Hill,0.01
WEEK-ANY-MINIMUM,"Fox Chapel borough (Allegheny, PA)",0.01
WEEK-ANY-MINIMUM,"Findlay township (Allegheny, PA)",0.01
WEEKENDS-ANY-MINIMUM,"Shaler township (Allegheny, PA)",-4.01
WEEKENDS-ANY-MINIMUM,Lincoln-Lemington-Belmar,-0.49
