stop_id,stop_name,usage_stop_name,id_name_mismatch,muni,hood,lat,lon,weekday_boardings,saturday_boardings,sunday_boardings,cur_weekday_trips,prop_weekday_trips,cur_weekday_hourly,prop_weekday_hourly,cur_early_4_6a,cur_am_6_9a,cur_mid_9a_3p,cur_pm_3_6p,cur_eve_6_8p,cur_late_8_11p,cur_owl_11p_4a,prop_early_4_6a,prop_am_6_9a,prop_mid_9a_3p,prop_pm_3_6p,prop_eve_6_8p,prop_late_8_11p,prop_owl_11p_4a,current_routes,proposed_routes,n_current_routes,n_proposed_routes,cur_saturday_trips,prop_saturday_trips,cur_saturday_hourly,prop_saturday_hourly,cur_sunday_trips,prop_sunday_trips,cur_sunday_hourly,prop_sunday_hourly,cur_week_any_minimum,prop_week_any_minimum,cur_weekdays_any_minimum,prop_weekdays_any_minimum,cur_weekends_any_minimum,prop_weekends_any_minimum,cur_week_any_hourly,prop_week_any_hourly,cur_weekend_any_hourly,prop_weekend_any_hourly,cur_week_any_minimum_150m,prop_week_any_minimum_150m,cur_weekdays_any_minimum_150m,prop_weekdays_any_minimum_150m,cur_weekends_any_minimum_150m,prop_weekends_any_minimum_150m,cur_week_any_hourly_150m,prop_week_any_hourly_150m,cur_weekend_any_hourly_150m,prop_weekend_any_hourly_150m
19514,STANWIX ST + PENN FS,STANWIX ST AT PENN AVE FS,0,"Pittsburgh city (Allegheny, PA)",Central Business District,40.442748,-80.004257,1300.67,696.0,505.4,2970,2587,1,1,112,623,868,631,284,314,138,58,478,798,475,286,279,213,1;11;12;13;15;16;17;19L;2;20;21;22;24;26;27;28X;29;31;36;38;4;52L;53L;56;57;58;6;61A;61B;61C;65;67;69;7;71B;77;8;86;87;88;91;G2;G3;G31;O1;O12;O5;P1;P10;P13;P17;P69;P7;P76;P78,10L;11;12;12L;13;14;16;18;19L;21;22;23L;24;25;26;27;28X;29;29S;2L;31;36L;38;4;5;6;60X;61X;62X;67;69;7;70;71X;78;8;80X;G1;P1,55,39,1916,1838,1,1,1469,1394,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7280,SMITHFIELD ST + SIXTH AVE,SMITHFIELD ST AT SIXTH AVE,0,"Pittsburgh city (Allegheny, PA)",Central Business District,40.441684,-79.997611,1158.76,714.8,447.2,3485,3578,1,1,119,749,989,750,330,374,174,79,672,1125,664,394,376,268,1;11;12;13;15;16;17;19L;2;28X;29;31;39;4;40;41;43;44;48;51;51L;52L;53L;56;57;58;6;61A;61B;61C;65;67;69;7;71B;77;8;81;82;83;86;87;88;91;G2;G3;G31;O1;O12;O5;P1;P10;P12;P13;P16;P17;P67;P68;P69;P7;P71;P76;P78;Y1;Y45;Y46;Y47;Y49,10L;11;12;12L;13;14;16;18;19L;1L;21;23L;24;25;27;28X;29;29S;2L;31;39;4;40;44;46L;48;49;5;51;51S;52L;53;56;57;58;6;60X;61X;62X;67;69;7;70;71X;73L;76L;77L;78;8;80X;82;83;86;87;88;91;92;G1;P1,68,59,2304,2524,1,1,1732,1875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20182,7TH ST + PENN AVE,7TH ST AT PENN AVE,0,"Pittsburgh city (Allegheny, PA)",Central Business District,40.443323,-80.000347,992.67,614.4,446.4,3720,3898,1,1,134,777,1080,791,358,401,179,86,739,1238,700,431,413,291,1;11;12;13;15;16;17;19L;2;20;21;22;24;26;27;28X;29;31;36;38;39;4;40;41;43;44;48;51;6;61A;61B;61C;65;67;69;7;71B;77;8;81;82;83;86;87;88;91;G2;G3;G31;O1;O12;O5;P1;P10;P12;P13;P16;P17;P67;P68;P69;P7;P71;P76;P78;Y46;Y47;Y49,10L;11;12;12L;13;14;16;18;19L;1L;21;22;23L;24;25;26;27;28X;29;29S;2L;31;36L;38;39;4;40;44;46L;48;49;5;51;51S;52L;53;56;57;58;6;60X;61X;62X;67;69;7;70;71X;73L;76L;77L;78;8;80X;82;83;86;87;88;91;92;G1;P1,68,63,2466,2752,1,1,1852,2064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15880,EAST BUSWAY + WILKINSBURG STATION C,EAST BUSWAY AT WILKINSBURG STATION C,0,"Wilkinsburg borough (Allegheny, PA)",,40.446887,-79.888646,772.67,442.6,300.4,976,1032,1,1,32,221,262,226,92,91,52,36,193,325,208,110,99,61,67;69;71;71C;71D;79;86;P1;P12;P16;P17;P3;P67;P68;P69;P7;P71;P76;P78,52L;58;67;68;69;69S;70;72;73L;76L;77L;78;78S;79;88;P1;P3,19,17,535,702,1,1,382,540,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
38,FIFTH AVE + CHESTERFIELD RD,FIFTH AVE AT CHESTERFIELD RD,0,"Pittsburgh city (Allegheny, PA)",West Oakland,40.439483,-79.961698,712.9,325.8,227.4,1672,1877,1,1,58,280,540,330,169,178,117,63,323,588,314,206,201,182,28X;54;58;61A;61B;61C;61D;65;67;69;71A;71B;71C;71D;75;81;83;93;P3,28X;35;35S;45;50;54;58;60X;61X;62X;70;71X;72;75;80X;81;83;84;85;93;P3,19,21,1165,1502,1,1,827,1134,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
22728,CHURCH AVE AT DALZELL AVE,SMITHFIELD ST AT FIFTH AVE,1,"Pittsburgh city (Allegheny, PA)",Central Business District,40.50914,-80.085108,626.71,325.8,222.6,13,14,0,0,2,5,0,5,1,0,0,0,6,1,5,2,0,0,19L,19L,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
8161,EAST BUSWAY + EAST LIBERTY STATION C,EAST BUSWAY AT EAST LIBERTY STATION C,0,"Pittsburgh city (Allegheny, PA)",Shadyside,40.459448,-79.923137,598.24,292.2,212.8,1254,1742,1,1,38,279,344,293,123,119,58,54,324,543,339,186,170,126,71B;71C;74;75;77;82;86;88;89;P1;P10;P12;P16;P17;P3;P67;P68;P69;P7;P71;P76;P78,1;1L;28X;45;52L;64;67;69;71X;73L;74;75;76L;77L;78;79;80X;82;86;87;88;92;P1;P3,22,24,735,1292,1,1,571,966,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11186,LIBERTY AVE + FIFTH AVE,LIBERTY AVE AT FIFTH AVE,0,"Pittsburgh city (Allegheny, PA)",Central Business District,40.441797,-80.002514,575.48,246.2,172.6,3927,3879,1,1,141,823,1144,833,377,426,183,85,722,1238,699,431,413,291,1;11;12;13;15;16;17;19L;2;20;21;22;24;26;27;28X;29;31;36;38;39;4;40;41;43;44;48;51;51L;52L;53L;56;57;58;6;61A;61B;61C;65;67;69;7;71B;77;8;81;82;83;86;87;88;91;G2;G3;G31;O1;O12;O5;P1;P10;P12;P13;P16;P17;P67;P69;P7;P76;P78;Y1;Y45;Y46;Y47;Y49,10L;11;12;12L;13;14;16;18;19L;21;22;23L;24;25;26;27;28X;29;29S;2L;31;36L;38;39;4;40;44;46L;48;49;5;51;51S;52L;53;56;57;58;6;60X;61X;62X;67;69;7;70;71X;77L;78;8;80X;82;83;86;87;88;91;92;G1;P1,74,60,2567,2752,1,1,1944,2064,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7279,LIBERTY AVE + 10TH ST NS,LIBERTY AVE AT 10TH ST NS,0,"Pittsburgh city (Allegheny, PA)",Central Business District,40.44381,-79.994892,524.19,231.0,202.2,2161,2713,1,1,77,486,579,483,202,232,102,53,519,856,517,302,286,180,1;11;12;15;19L;2;28X;29;31;39;4;40;41;44;6;61A;61B;61C;65;67;69;7;71B;77;81;82;83;86;87;88;91;G2;G3;G31;O1;O12;O5;P1;P10;P12;P13;P16;P17;P67;P68;P69;P7;P71;P76;P78,10L;11;12;12L;14;18;19L;1L;21;23L;24;25;27;28X;29;29S;2L;31;39;4;40;44;46L;49;5;52L;53;56;57;58;60X;61X;62X;67;69;7;70;71X;73L;76L;77L;78;80X;82;83;84;86;87;88;91;92;G1;P1,50,53,1341,1876,1,1,1024,1398,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4832,WOOD ST + SIXTH AVE,WOOD ST AT SIXTH AVE,0,"Pittsburgh city (Allegheny, PA)",Central Business District,40.441801,-79.999643,490.86,260.8,158.6,3673,3845,1,1,130,779,1054,788,349,394,179,86,724,1214,708,426,401,286,1;11;12;13;15;16;17;19L;2;20;21;22;24;26;27;28X;29;31;36;38;39;4;40;41;43;44;48;51;51L;52L;53L;56;57;58;6;61A;61B;61C;65;67;69;7;71B;77;8;81;82;83;86;87;88;91;G2;G3;G31;O1;O12;O5;P1;P10;P12;P13;P16;P17;P67;P68;P69;P7;P71;P76;P78;Y1;Y45;Y46;Y47;Y49,10L;11;12;12L;13;14;16;18;19L;1L;21;22;23L;24;25;26;27;28X;29;29S;2L;31;36L;38;39;4;40;44;46L;48;49;5;51;51S;52L;53;56;57;58;6;60X;61X;62X;67;69;7;70;71X;73L;76L;77L;78;8;80X;82;83;86;87;88;91;92;G1;P1,76,63,2416,2703,1,1,1818,2022,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
