route,name,sat.,sun.,weekday
17,17 - SHADELAND,388.5,456.8,948.7
53L,53L - HOMESTEAD PARK LIMITED,0,0,784.5
15,15 - CHARLES,600.5,370.0,774.0
Y47,Y47 - CURRY FLYER,382.5,0,549.5
2,2 - MOUNT ROYAL,180.2,134.8,448.1
P17,P17 - LINCOLN PARK FLYER,0,0,404.1
20,20 - KENNEDY,280.5,109.5,332.8
43,43 - BAILEY,213.8,196.2,332.8
P7,P7 - MCKEESPORT FLYER,0,0,321.5
51L,51L - CARRICK LIMITED,0,0,249.6
G31,G31 - BRIDGEVILLE FLYER,0,0,188.5
P69,P69 - TRAFFORD FLYER,0,0,182.0
P71,P71 - SWISSVALE FLYER,0,0,150.9
65,65 - SQUIRREL HILL,0,0,122.2
P67,P67 - MONROEVILLE FLYER,0,0,108.6
Y1,Y1 - LARGE FLYER,0,0,82.5
71,71 - EDGEWOOD TOWN CENTER,0,0,67.8
Y45,Y45 - BALDWIN MANOR FLYER,0,0,48.5
18,18 - MANCHESTER,0,0,33.5
O5,O5 - THOMPSON RUN FLYER VIA 279,0,0,23.7
