geoid,tract_geoid,county,population,lat,lon,race_total,hispanic_or_latino,white_nh,black_nh,native_american_nh,asian_nh,pacific_islander_nh,other_race_nh,two_or_more_nh,age_total,under_18,age_65_plus,income_total,income_under_25k,income_25k_50k,income_50k_75k,income_75k_100k,income_100k_plus,vehicle_total,zero_vehicle_households,one_vehicle_households,disability_total,with_a_disability,language_total,limited_english_households,cur_week_any_minimum,prop_week_any_minimum,lost_week_any_minimum,gained_week_any_minimum,cur_weekdays_any_minimum,prop_weekdays_any_minimum,lost_weekdays_any_minimum,gained_weekdays_any_minimum,cur_weekends_any_minimum,prop_weekends_any_minimum,lost_weekends_any_minimum,gained_weekends_any_minimum,cur_week_any_hourly,prop_week_any_hourly,lost_week_any_hourly,gained_week_any_hourly,cur_weekend_any_hourly,prop_weekend_any_hourly,lost_weekend_any_hourly,gained_weekend_any_hourly,cur_weekday_trips,prop_weekday_trips,cur_saturday_trips,prop_saturday_trips,cur_sunday_trips,prop_sunday_trips,point_cur_week_any_minimum,point_prop_week_any_minimum,point_cur_weekdays_any_minimum,point_prop_weekdays_any_minimum,point_cur_weekends_any_minimum,point_prop_weekends_any_minimum,point_cur_week_any_hourly,point_prop_week_any_hourly,point_cur_weekend_any_hourly,point_prop_weekend_any_hourly,cur_week_any_minimum_150m,prop_week_any_minimum_150m,lost_week_any_minimum_150m,gained_week_any_minimum_150m,cur_weekdays_any_minimum_150m,prop_weekdays_any_minimum_150m,lost_weekdays_any_minimum_150m,gained_weekdays_any_minimum_150m,cur_weekends_any_minimum_150m,prop_weekends_any_minimum_150m,lost_weekends_any_minimum_150m,gained_weekends_any_minimum_150m,cur_week_any_hourly_150m,prop_week_any_hourly_150m,lost_week_any_hourly_150m,gained_week_any_hourly_150m,cur_weekend_any_hourly_150m,prop_weekend_any_hourly_150m,lost_weekend_any_hourly_150m,gained_weekend_any_hourly_150m
420030103011,42003010301,Allegheny,1807.0,40.434601,-79.993324,1855.0,65.0,652.0,1029.0,0.0,9.0,0.0,18.0,82.0,1855.0,24.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,531.0,222.0,357.0,133.0,277.0,104.0,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
420030103021,42003010302,Allegheny,3326.0,40.436387,-79.991162,3949.0,210.0,3189.0,253.0,0.0,172.0,0.0,0.0,125.0,3949.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3863.87,394.22,268.53,18.77,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,924.5,1032.0,671.1,813.2,513.3,582.1,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6864,0.3136,0.0
420030103022,42003010302,Allegheny,749.0,40.437466,-79.980156,805.0,98.0,392.0,275.0,0.0,0.0,0.0,29.0,11.0,805.0,123.0,80.0,329.0,66.0,66.0,97.0,40.0,60.0,329.0,79.0,153.0,870.13,88.78,60.47,4.23,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,728.3,852.7,549.0,716.1,374.8,502.0,1,1,1,1,1,1,1,1,1,1,1.0,0.9413,0.0587,0.0,1.0,0.9413,0.0587,0.0,1.0,0.9413,0.0587,0.0,1.0,0.9413,0.0587,0.0,0.9599,0.9413,0.0587,0.0401
420030201001,42003020100,Allegheny,1763.0,40.438931,-80.002487,1860.0,58.0,1108.0,345.0,0.0,178.0,0.0,0.0,171.0,1860.0,29.0,176.0,370.0,88.0,65.0,36.0,6.0,175.0,370.0,201.0,138.0,1714.91,120.79,926.05,7.83,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2445.9,2801.7,1534.4,1975.5,1143.7,1476.8,1,1,1,1,1,1,1,1,1,1,0.9983,0.9155,0.0828,0.0,0.9983,0.9155,0.0828,0.0,0.9983,0.9155,0.0828,0.0,0.9983,0.9155,0.0828,0.0,0.9983,0.907,0.0913,0.0
420030201002,42003020100,Allegheny,1134.0,40.442746,-80.003183,917.0,13.0,760.0,45.0,0.0,19.0,0.0,74.0,6.0,917.0,0.0,224.0,717.0,202.0,62.0,44.0,175.0,234.0,717.0,412.0,292.0,1103.07,77.69,595.66,5.04,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3254.9,3348.1,2104.7,2368.1,1594.1,1779.8,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
420030201003,42003020100,Allegheny,710.0,40.441466,-79.998117,798.0,168.0,411.0,26.0,0.0,179.0,0.0,0.0,14.0,798.0,0.0,97.0,630.0,181.0,36.0,61.0,96.0,256.0,630.0,217.0,347.0,690.63,48.64,372.94,3.15,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3382.4,3552.1,2209.6,2497.3,1666.3,1861.3,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
420030201004,42003020100,Allegheny,144.0,40.438581,-79.996564,284.0,149.0,115.0,0.0,0.0,0.0,20.0,0.0,0.0,284.0,44.0,0.0,197.0,56.0,18.0,21.0,20.0,82.0,197.0,77.0,120.0,140.07,9.87,75.64,0.64,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2130.6,2326.5,1456.2,1677.5,1076.3,1245.6,1,1,1,1,1,1,1,1,1,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.8542,0.1458,0.0
420030201005,42003020100,Allegheny,978.0,40.443862,-79.997117,741.0,16.0,417.0,69.0,0.0,213.0,0.0,0.0,26.0,741.0,0.0,26.0,570.0,48.0,93.0,24.0,94.0,311.0,570.0,288.0,253.0,951.32,67.01,513.71,4.34,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2953.7,3137.1,1928.7,2174.4,1452.9,1619.6,1,1,1,1,1,1,1,1,1,1,0.9928,0.9888,0.0041,0.0,0.9928,0.9888,0.0041,0.0,0.9928,0.9888,0.0041,0.0,0.9928,0.9888,0.0041,0.0,0.9888,0.9888,0.0,0.0
420030203001,42003020300,Allegheny,1845.0,40.456719,-79.97972,1928.0,87.0,1510.0,51.0,0.0,211.0,0.0,0.0,69.0,1928.0,55.0,132.0,1486.0,97.0,70.0,232.0,171.0,916.0,1486.0,152.0,1176.0,1928.0,23.0,1486.0,7.0,0.735,0.735,0.0,0.0,0.735,0.735,0.0,0.0,0.735,0.735,0.0,0.0,0.735,0.735,0.0,0.0,0.735,0.735,0.0,0.0,290.9,324.8,204.3,276.4,156.9,194.4,1,1,1,1,1,1,1,1,1,1,0.2195,0.2195,0.0,0.0,0.2195,0.2195,0.0,0.0,0.2195,0.2195,0.0,0.0,0.2195,0.2195,0.0,0.0,0.2195,0.2195,0.0,0.0
420030305001,42003030500,Allegheny,1238.0,40.44454,-79.985154,1206.0,0.0,100.0,1096.0,0.0,0.0,0.0,10.0,0.0,1206.0,259.0,250.0,458.0,240.0,61.0,68.0,12.0,77.0,458.0,210.0,185.0,1212.35,133.12,644.44,5.7,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,473.5,599.0,334.0,429.9,285.7,317.3,1,1,1,1,1,1,1,1,1,1,0.9265,0.8498,0.0929,0.0162,0.9265,0.8498,0.0929,0.0162,0.9265,0.8498,0.0929,0.0162,0.9265,0.8498,0.0929,0.0162,0.9265,0.8498,0.0929,0.0162
