scope,question,group,universe,tier,radius_m,total,covered_now,covered_proposed,net,pct_now,pct_proposed,pct_point_change,lost,gained,pct_lost,pct_gained,too_small_to_quote
allegheny,REGION,all_residents,people,WEEK-ANY-MINIMUM,400,1238177,660504,611609,-48895,53.3,49.4,-3.9,68989,20095,5.57,1.62,0
allegheny,REGION,all_households,households,WEEK-ANY-MINIMUM,400,545802,303631,281895,-21735,55.6,51.6,-4.0,30613,8878,5.61,1.63,0
allegheny,EQUITY-RACE,hispanic_or_latino,people,WEEK-ANY-MINIMUM,400,36691,23540,22464,-1075,64.2,61.2,-2.9,1560,485,4.25,1.32,0
allegheny,EQUITY-RACE,white_nh,people,WEEK-ANY-MINIMUM,400,934734,447902,405204,-42699,47.9,43.3,-4.6,57541,14843,6.16,1.59,0
allegheny,EQUITY-RACE,black_nh,people,WEEK-ANY-MINIMUM,400,152924,123903,121734,-2169,81.0,79.6,-1.4,4879,2709,3.19,1.77,0
allegheny,EQUITY-RACE,native_american_nh,people,WEEK-ANY-MINIMUM,400,628,454,455,1,72.2,72.4,0.2,7,8,1.19,1.35,1
allegheny,EQUITY-RACE,asian_nh,people,WEEK-ANY-MINIMUM,400,53578,29007,27746,-1261,54.1,51.8,-2.4,1957,695,3.65,1.3,0
allegheny,EQUITY-RACE,pacific_islander_nh,people,WEEK-ANY-MINIMUM,400,187,91,80,-12,48.9,42.6,-6.3,12,0,6.43,0.08,1
allegheny,EQUITY-RACE,other_race_nh,people,WEEK-ANY-MINIMUM,400,6773,4251,4051,-200,62.8,59.8,-3.0,551,351,8.14,5.18,0
allegheny,EQUITY-RACE,two_or_more_nh,people,WEEK-ANY-MINIMUM,400,52662,31356,29877,-1479,59.5,56.7,-2.8,2482,1004,4.71,1.91,0
allegheny,EQUITY-AGE,under_18,people,WEEK-ANY-MINIMUM,400,230228,112251,103619,-8632,48.8,45.0,-3.7,12662,4030,5.5,1.75,0
allegheny,EQUITY-AGE,age_65_plus,people,WEEK-ANY-MINIMUM,400,249886,124516,112234,-12281,49.8,44.9,-4.9,15882,3601,6.36,1.44,0
allegheny,EQUITY-INCOME,income_under_25k,households,WEEK-ANY-MINIMUM,400,86622,62337,60155,-2182,72.0,69.4,-2.5,3705,1523,4.28,1.76,0
allegheny,EQUITY-INCOME,income_25k_50k,households,WEEK-ANY-MINIMUM,400,93323,58584,55191,-3393,62.8,59.1,-3.6,5174,1781,5.54,1.91,0
allegheny,EQUITY-INCOME,income_50k_75k,households,WEEK-ANY-MINIMUM,400,82657,48812,45336,-3476,59.1,54.8,-4.2,4805,1329,5.81,1.61,0
allegheny,EQUITY-INCOME,income_75k_100k,households,WEEK-ANY-MINIMUM,400,67373,37040,34026,-3014,55.0,50.5,-4.5,4088,1074,6.07,1.59,0
allegheny,EQUITY-INCOME,income_100k_plus,households,WEEK-ANY-MINIMUM,400,215827,96858,87188,-9670,44.9,40.4,-4.5,12840,3171,5.95,1.47,0
allegheny,EQUITY-VEHICLE,zero_vehicle_households,households,WEEK-ANY-MINIMUM,400,65143,52888,51432,-1456,81.2,79.0,-2.2,2376,920,3.65,1.41,0
allegheny,EQUITY-VEHICLE,one_vehicle_households,households,WEEK-ANY-MINIMUM,400,221226,137291,128779,-8512,62.1,58.2,-3.8,12076,3565,5.46,1.61,0
allegheny,EQUITY-DISABILITY,with_a_disability,people,WEEK-ANY-MINIMUM,400,170957,99729,93126,-6603,58.3,54.5,-3.9,9446,2843,5.53,1.66,0
allegheny,EQUITY-LANGUAGE,limited_english_households,households,WEEK-ANY-MINIMUM,400,7885,5370,5071,-299,68.1,64.3,-3.8,408,109,5.17,1.39,0
allegheny,REGION,all_residents,people,WEEKDAYS-ANY-MINIMUM,400,1238177,660376,611609,-48766,53.3,49.4,-3.9,68989,20223,5.57,1.63,0
allegheny,REGION,all_households,households,WEEKDAYS-ANY-MINIMUM,400,545802,303585,281895,-21689,55.6,51.6,-4.0,30613,8924,5.61,1.63,0
allegheny,EQUITY-RACE,hispanic_or_latino,people,WEEKDAYS-ANY-MINIMUM,400,36691,23536,22464,-1072,64.1,61.2,-2.9,1560,488,4.25,1.33,0
allegheny,EQUITY-RACE,white_nh,people,WEEKDAYS-ANY-MINIMUM,400,934734,447852,405204,-42648,47.9,43.3,-4.6,57541,14893,6.16,1.59,0
allegheny,EQUITY-RACE,black_nh,people,WEEKDAYS-ANY-MINIMUM,400,152924,123840,121734,-2107,81.0,79.6,-1.4,4879,2772,3.19,1.81,0
allegheny,EQUITY-RACE,native_american_nh,people,WEEKDAYS-ANY-MINIMUM,400,628,454,455,1,72.2,72.4,0.2,7,8,1.19,1.35,1
allegheny,EQUITY-RACE,asian_nh,people,WEEKDAYS-ANY-MINIMUM,400,53578,29006,27746,-1260,54.1,51.8,-2.4,1957,697,3.65,1.3,0
allegheny,EQUITY-RACE,pacific_islander_nh,people,WEEKDAYS-ANY-MINIMUM,400,187,91,80,-12,48.9,42.6,-6.3,12,0,6.43,0.08,1
allegheny,EQUITY-RACE,other_race_nh,people,WEEKDAYS-ANY-MINIMUM,400,6773,4251,4051,-200,62.8,59.8,-3.0,551,351,8.14,5.18,0
allegheny,EQUITY-RACE,two_or_more_nh,people,WEEKDAYS-ANY-MINIMUM,400,52662,31346,29877,-1469,59.5,56.7,-2.8,2482,1014,4.71,1.93,0
allegheny,EQUITY-AGE,under_18,people,WEEKDAYS-ANY-MINIMUM,400,230228,112215,103619,-8596,48.7,45.0,-3.7,12662,4066,5.5,1.77,0
allegheny,EQUITY-AGE,age_65_plus,people,WEEKDAYS-ANY-MINIMUM,400,249886,124501,112234,-12267,49.8,44.9,-4.9,15882,3615,6.36,1.45,0
allegheny,EQUITY-INCOME,income_under_25k,households,WEEKDAYS-ANY-MINIMUM,400,86622,62325,60155,-2170,72.0,69.4,-2.5,3705,1535,4.28,1.77,0
allegheny,EQUITY-INCOME,income_25k_50k,households,WEEKDAYS-ANY-MINIMUM,400,93323,58574,55191,-3384,62.8,59.1,-3.6,5174,1791,5.54,1.92,0
allegheny,EQUITY-INCOME,income_50k_75k,households,WEEKDAYS-ANY-MINIMUM,400,82657,48807,45336,-3471,59.0,54.8,-4.2,4805,1334,5.81,1.61,0
allegheny,EQUITY-INCOME,income_75k_100k,households,WEEKDAYS-ANY-MINIMUM,400,67373,37030,34026,-3004,55.0,50.5,-4.5,4088,1084,6.07,1.61,0
allegheny,EQUITY-INCOME,income_100k_plus,households,WEEKDAYS-ANY-MINIMUM,400,215827,96848,87188,-9660,44.9,40.4,-4.5,12840,3181,5.95,1.47,0
allegheny,EQUITY-VEHICLE,zero_vehicle_households,households,WEEKDAYS-ANY-MINIMUM,400,65143,52881,51432,-1449,81.2,79.0,-2.2,2376,927,3.65,1.42,0
allegheny,EQUITY-VEHICLE,one_vehicle_households,households,WEEKDAYS-ANY-MINIMUM,400,221226,137265,128779,-8486,62.0,58.2,-3.8,12076,3591,5.46,1.62,0
allegheny,EQUITY-DISABILITY,with_a_disability,people,WEEKDAYS-ANY-MINIMUM,400,170957,99711,93126,-6585,58.3,54.5,-3.9,9446,2861,5.53,1.67,0
allegheny,EQUITY-LANGUAGE,limited_english_households,households,WEEKDAYS-ANY-MINIMUM,400,7885,5370,5071,-299,68.1,64.3,-3.8,408,109,5.17,1.39,0
allegheny,REGION,all_residents,people,WEEKENDS-ANY-MINIMUM,400,1238177,585758,575166,-10591,47.3,46.5,-0.9,49568,38977,4.0,3.15,0
allegheny,REGION,all_households,households,WEEKENDS-ANY-MINIMUM,400,545802,269647,265461,-4186,49.4,48.6,-0.8,22188,18002,4.07,3.3,0
allegheny,EQUITY-RACE,hispanic_or_latino,people,WEEKENDS-ANY-MINIMUM,400,36691,21846,21331,-515,59.5,58.1,-1.4,1406,891,3.83,2.43,0
allegheny,EQUITY-RACE,white_nh,people,WEEKENDS-ANY-MINIMUM,400,934734,386923,376302,-10621,41.4,40.3,-1.1,40633,30012,4.35,3.21,0
allegheny,EQUITY-RACE,black_nh,people,WEEKENDS-ANY-MINIMUM,400,152924,116881,118567,1687,76.4,77.5,1.1,3809,5496,2.49,3.59,0
allegheny,EQUITY-RACE,native_american_nh,people,WEEKENDS-ANY-MINIMUM,400,628,425,433,9,67.6,69.0,1.4,10,19,1.67,3.06,1
allegheny,EQUITY-RACE,asian_nh,people,WEEKENDS-ANY-MINIMUM,400,53578,27221,26475,-746,50.8,49.4,-1.4,1396,650,2.6,1.21,0
allegheny,EQUITY-RACE,pacific_islander_nh,people,WEEKENDS-ANY-MINIMUM,400,187,90,43,-47,48.1,22.9,-25.2,48,1,25.48,0.29,1
allegheny,EQUITY-RACE,other_race_nh,people,WEEKENDS-ANY-MINIMUM,400,6773,3587,3764,176,53.0,55.6,2.6,209,385,3.08,5.69,0
allegheny,EQUITY-RACE,two_or_more_nh,people,WEEKENDS-ANY-MINIMUM,400,52662,28786,28251,-534,54.7,53.6,-1.0,2058,1523,3.91,2.89,0
allegheny,EQUITY-AGE,under_18,people,WEEKENDS-ANY-MINIMUM,400,230228,98724,96853,-1871,42.9,42.1,-0.8,9006,7135,3.91,3.1,0
allegheny,EQUITY-AGE,age_65_plus,people,WEEKENDS-ANY-MINIMUM,400,249886,106891,104049,-2842,42.8,41.6,-1.1,11232,8390,4.49,3.36,0
allegheny,EQUITY-INCOME,income_under_25k,households,WEEKENDS-ANY-MINIMUM,400,86622,57492,58174,682,66.4,67.2,0.8,2726,3408,3.15,3.93,0
allegheny,EQUITY-INCOME,income_25k_50k,households,WEEKENDS-ANY-MINIMUM,400,93323,52437,52374,-62,56.2,56.1,-0.1,3769,3707,4.04,3.97,0
allegheny,EQUITY-INCOME,income_50k_75k,households,WEEKENDS-ANY-MINIMUM,400,82657,43248,42504,-744,52.3,51.4,-0.9,3556,2812,4.3,3.4,0
allegheny,EQUITY-INCOME,income_75k_100k,households,WEEKENDS-ANY-MINIMUM,400,67373,32476,31641,-835,48.2,47.0,-1.2,3067,2232,4.55,3.31,0
allegheny,EQUITY-INCOME,income_100k_plus,households,WEEKENDS-ANY-MINIMUM,400,215827,83994,80768,-3226,38.9,37.4,-1.5,9069,5843,4.2,2.71,0
allegheny,EQUITY-VEHICLE,zero_vehicle_households,households,WEEKENDS-ANY-MINIMUM,400,65143,50072,50138,66,76.9,77.0,0.1,2039,2105,3.13,3.23,0
