scope,question,group,universe,total,cur_weekday_trips,prop_weekday_trips,net_weekday_pct,cur_saturday_trips,prop_saturday_trips,net_saturday_pct,cur_sunday_trips,prop_sunday_trips,net_sunday_pct
allegheny,REGION,all_residents,people,1238177,114.7,121.0,5.5,77.3,91.4,18.2,56.8,69.1,21.7
allegheny,REGION,all_households,households,545802,114.8,121.8,6.1,76.8,91.2,18.8,56.8,69.1,21.7
allegheny,EQUITY-RACE,hispanic_or_latino,people,36691,192.0,202.0,5.2,130.7,152.6,16.8,94.6,114.3,20.8
allegheny,EQUITY-RACE,white_nh,people,934734,94.7,100.0,5.6,63.5,75.6,19.1,46.5,57.3,23.2
allegheny,EQUITY-RACE,black_nh,people,152924,168.9,177.4,5.0,115.1,132.5,15.1,85.9,99.7,16.1
allegheny,EQUITY-RACE,native_american_nh,people,628,169.4,173.9,2.7,119.7,129.9,8.5,90.4,99.7,10.3
allegheny,EQUITY-RACE,asian_nh,people,53578,240.5,255.1,6.1,164.6,196.0,19.1,119.3,148.0,24.1
allegheny,EQUITY-RACE,pacific_islander_nh,people,187,285.1,302.2,6.0,188.9,219.5,16.2,140.3,165.9,18.2
allegheny,EQUITY-RACE,other_race_nh,people,6773,150.5,155.5,3.3,99.9,114.2,14.3,72.4,85.5,18.1
allegheny,EQUITY-RACE,two_or_more_nh,people,52662,125.1,132.0,5.5,84.6,100.2,18.4,62.4,75.3,20.7
allegheny,EQUITY-AGE,under_18,people,230228,69.5,73.0,5.0,46.7,54.6,16.9,34.4,41.4,20.3
allegheny,EQUITY-AGE,age_65_plus,people,249886,80.1,83.8,4.6,53.0,62.5,17.9,39.3,47.6,21.1
allegheny,EQUITY-INCOME,income_under_25k,households,86622,175.4,186.8,6.5,118.0,140.0,18.6,87.9,106.1,20.7
allegheny,EQUITY-INCOME,income_25k_50k,households,93323,120.7,128.6,6.5,80.2,95.7,19.3,59.5,72.8,22.4
allegheny,EQUITY-INCOME,income_50k_75k,households,82657,110.0,116.4,5.8,73.5,87.4,18.9,54.2,66.3,22.3
allegheny,EQUITY-INCOME,income_75k_100k,households,67373,110.2,117.4,6.5,73.1,87.5,19.7,54.1,66.2,22.4
allegheny,EQUITY-INCOME,income_100k_plus,households,215827,91.3,96.2,5.4,61.1,72.3,18.3,44.9,54.5,21.4
allegheny,EQUITY-VEHICLE,zero_vehicle_households,households,65143,255.9,271.8,6.2,171.8,202.9,18.1,127.6,152.9,19.8
allegheny,EQUITY-VEHICLE,one_vehicle_households,households,221226,133.8,142.8,6.7,89.5,107.0,19.6,66.3,80.9,22.0
allegheny,EQUITY-DISABILITY,with_a_disability,people,170957,103.1,109.1,5.8,68.8,81.6,18.6,51.0,62.1,21.8
allegheny,EQUITY-LANGUAGE,limited_english_households,households,7885,183.9,195.2,6.1,123.4,147.6,19.6,90.7,112.4,23.9
served,REGION,all_residents,people,950675,149.7,158.0,5.5,100.9,119.4,18.3,74.1,90.4,22.0
served,REGION,all_households,households,432834,145.2,154.1,6.1,97.0,115.4,19.0,71.8,87.5,21.9
served,EQUITY-RACE,hispanic_or_latino,people,32110,219.9,231.3,5.2,149.7,174.8,16.8,108.4,131.0,20.8
served,EQUITY-RACE,white_nh,people,681119,130.2,137.6,5.7,87.3,104.1,19.2,64.0,79.0,23.4
served,EQUITY-RACE,black_nh,people,148564,174.1,183.1,5.2,118.6,136.9,15.4,88.5,103.0,16.4
served,EQUITY-RACE,native_american_nh,people,536,198.4,203.7,2.7,140.2,152.2,8.6,105.9,116.9,10.4
served,EQUITY-RACE,asian_nh,people,38967,330.7,350.8,6.1,226.3,269.5,19.1,164.0,203.6,24.1
served,EQUITY-RACE,pacific_islander_nh,people,121,440.7,467.0,6.0,291.9,339.3,16.2,216.8,256.3,18.2
served,EQUITY-RACE,other_race_nh,people,5661,180.1,186.5,3.6,119.6,137.1,14.6,86.7,102.7,18.5
served,EQUITY-RACE,two_or_more_nh,people,43597,151.7,160.1,5.5,102.6,121.7,18.6,75.7,91.5,20.9
served,EQUITY-AGE,under_18,people,165704,96.8,101.8,5.2,65.0,76.2,17.2,47.9,57.8,20.7
served,EQUITY-AGE,age_65_plus,people,188953,106.2,111.2,4.7,70.3,83.0,18.1,52.1,63.2,21.3
