place,block_groups,residents,lat,lon
Penn Hills municipality,38,41414.0,40.473835,-79.827392
Mount Lebanon township,30,33370.0,40.376263,-80.049181
Ross township,22,32939.0,40.528707,-80.024689
Bethel Park municipality,25,32881.0,40.322773,-80.039148
McCandless township,19,29100.0,40.576657,-80.029472
Monroeville municipality,23,28794.0,40.429081,-79.764006
Shaler township,19,27538.0,40.524323,-79.964735
Moon township,17,26902.0,40.516021,-80.21074
Plum borough,16,26723.0,40.489271,-79.744867
Upper St. Clair municipality,11,20863.0,40.334358,-80.081433
Baldwin borough,16,20117.0,40.363383,-79.971431
West Mifflin borough,18,19190.0,40.366847,-79.894638
South Fayette township,9,18460.0,40.349362,-80.145546
Hampton township,11,18185.0,40.586076,-79.950529
McKeesport city,21,17380.0,40.343624,-79.844637
Scott township,12,17270.0,40.389025,-80.074485
North Fayette township,9,16107.0,40.431053,-80.219732
Whitehall borough,13,15751.0,40.359821,-79.98925
Robinson township,8,15534.0,40.461322,-80.133583
Franklin Park borough,7,15235.0,40.588104,-80.087956
Pine township,6,15224.0,40.643209,-80.038056
Squirrel Hill South,13,14819.0,40.432149,-79.927231
Shadyside,14,14218.0,40.453884,-79.931812
Wilkinsburg borough,16,14027.0,40.442694,-79.876445
South Park township,11,13706.0,40.298867,-79.996291
Brookline,14,13513.0,40.394317,-80.014452
Jefferson Hills borough,6,12317.0,40.298552,-79.942953
West Deer township,8,12228.0,40.624713,-79.877865
Squirrel Hill North,10,12183.0,40.447201,-79.937106
Richland township,6,11844.0,40.637132,-79.945542
Elizabeth township,8,10599.0,40.277615,-79.831403
Munhall borough,9,10548.0,40.391016,-79.901815
Marshall township,4,10226.0,40.646222,-80.09718
North Oakland,6,10103.0,40.446347,-79.954195
Harrison township,11,9949.0,40.627869,-79.722611
Brentwood borough,7,9866.0,40.375336,-79.976535
North Versailles township,10,9845.0,40.377243,-79.812844
Carrick,12,9156.0,40.393774,-79.985724
O Hara township,8,9109.0,40.507394,-79.892139
Collier township,5,8972.0,40.398691,-80.127764
Mount Washington,9,8711.0,40.426987,-80.008646
Kennedy township,6,8549.0,40.479462,-80.104633
Bloomfield,10,8520.0,40.461159,-79.946176
Swissvale borough,10,8418.0,40.422349,-79.885467
Pleasant Hills borough,7,8399.0,40.330837,-79.958619
Castle Shannon borough,8,8209.0,40.365224,-80.021629
Bellevue borough,7,8128.0,40.495512,-80.053753
Dormont borough,8,8063.0,40.393788,-80.037053
Carnegie borough,8,7978.0,40.406605,-80.087526
White Oak borough,7,7468.0,40.343983,-79.811542
South Side Flats,7,7335.0,40.427685,-79.976216
Indiana township,5,7309.0,40.568122,-79.876126
Ohio township,2,7228.0,40.544499,-80.093222
Brighton Heights,7,7023.0,40.48229,-80.037255
Beechview,10,6812.0,40.409489,-80.024978
Oakmont borough,5,6702.0,40.519352,-79.836939
Findlay township,4,6698.0,40.468716,-80.265809
East Liberty,7,6645.0,40.465542,-79.925466
Bluff,3,6609.0,40.436017,-79.990428
Highland Park,8,6605.0,40.479945,-79.9327
Greenfield,8,6582.0,40.423689,-79.936168
West View borough,7,6533.0,40.518627,-80.033105
Point Breeze,7,6387.0,40.45761,-79.930519
Stowe township,7,6294.0,40.477012,-80.075396
Forest Hills borough,6,6286.0,40.424215,-79.85314
Wilkins township,5,6212.0,40.425623,-79.825653
Clairton city,6,6044.0,40.296325,-79.889532
Crafton borough,5,5961.0,40.434398,-80.068519
McKees Rocks borough,6,5786.0,40.468745,-80.066608
Sheraden,6,5514.0,40.455903,-80.057908
Central Oakland,4,5418.0,40.438003,-79.955092
Coraopolis borough,5,5417.0,40.515472,-80.163797
Fox Chapel borough,4,5246.0,40.522388,-79.890777
Duquesne city,6,5149.0,40.371041,-79.852843
Turtle Creek borough,5,5007.0,40.409467,-79.820843
