geoid,place,place_distance_m,lat,lon,population,residents_lost,residents_gained,black_lost,black_gained,age_65_plus_lost,age_65_plus_gained,under_18_lost,under_18_gained,low_income_lost,low_income_gained,zero_vehicle_lost,zero_vehicle_gained,disability_lost,disability_gained,limited_english_lost,limited_english_gained
420034135004,McCandless township,697,40.576613,-80.004869,2059.0,1923.3,0.0,56.1,0.0,364.0,0.0,198.2,0.0,75.1,0.0,36.5,0.0,168.9,0.0,14.7,0.0
420034282002,Reserve township,93,40.488147,-79.998198,1430.0,1629.0,0.0,154.0,0.0,365.6,0.0,283.8,0.0,61.6,0.0,45.2,0.0,241.5,0.0,0.0,0.0
420034600012,Kennedy township,325,40.49082,-80.105407,1272.0,1624.0,0.0,28.0,0.0,304.0,0.0,416.0,0.0,60.0,0.0,73.0,0.0,176.7,0.0,0.0,0.0
420034600011,Kennedy township,154,40.488192,-80.115839,1654.0,1492.0,0.0,210.0,0.0,520.0,0.0,135.0,0.0,156.0,0.0,114.0,0.0,229.7,0.0,0.0,0.0
420034292011,Ross township,142,40.549448,-79.998993,1938.0,1481.1,0.0,0.0,0.0,236.1,0.0,314.5,0.0,6.6,0.0,0.0,0.0,137.5,0.0,21.0,0.0
420034751014,Bethel Park municipality,235,40.348318,-80.046898,1788.0,1439.0,0.0,12.5,0.0,616.6,0.0,95.8,0.0,172.7,0.0,125.3,0.0,263.3,0.0,0.0,0.0
420034804003,Baldwin borough,383,40.382363,-79.962911,1574.0,1286.2,0.0,0.0,0.0,164.8,0.0,298.6,0.0,37.6,0.0,12.3,0.0,148.5,0.0,0.0,0.0
420034135003,McCandless township,74,40.57245,-79.997337,1448.0,1267.0,0.0,0.0,0.0,229.0,0.0,284.0,0.0,79.0,0.0,0.0,0.0,175.6,0.0,15.3,0.0
420034803003,Baldwin borough,286,40.391078,-79.972128,1383.0,1220.2,0.0,27.2,0.0,364.5,0.0,234.5,0.0,68.3,0.0,16.5,0.0,120.6,0.0,3.5,0.0
420034704003,Scott township,406,40.368048,-80.090871,1418.0,1128.2,0.0,0.0,0.0,194.0,0.0,284.5,0.0,26.7,0.0,67.1,0.0,207.7,0.0,0.0,0.0
420034801023,Baldwin borough,145,40.34212,-79.994599,840.0,1120.1,0.0,109.5,0.0,336.5,0.0,201.3,0.0,67.1,0.0,2.0,0.0,107.3,0.0,0.0,0.0
420034292022,Ross township,208,40.517866,-79.990426,1348.0,1114.2,0.0,9.0,0.0,296.7,0.0,191.8,0.0,57.7,0.0,18.0,0.0,105.9,0.0,3.5,0.0
420034804001,Baldwin borough,274,40.387025,-79.95045,1274.0,1057.0,0.0,47.8,0.0,204.5,0.0,208.5,0.0,102.7,0.0,52.5,0.0,132.3,0.0,0.0,0.0
