place,anchor,status,weekday_boardings,stops_now,stops_proposed,n_routes_now,n_routes_proposed,routes_now,routes_proposed,routes_kept,routes_lost,routes_gained
Allegheny Center,Downtown,keeps,897.73,27,18,12,12,1;11;12;13;15;16;17;2;4;6;7;8,11;12;13;14;16;18;2L;4;5;6;7;8,11;12;13;16;4;6;7;8,1;15;17;2,14;18;2L;5
Allegheny Center,Oakland,keeps,897.73,27,18,1,1,54,54,54,,
Allegheny West,Downtown,gains,23.11,11,7,0,1,,14,,,14
Allegheny West,Oakland,keeps,23.11,11,7,1,1,54,54,54,,
Allentown,Downtown,keeps,216.58,19,15,4,3,43;44;48;51L,40;44;48,44;48,43;51L,40
Allentown,Oakland,loses,216.58,19,15,1,0,54,,,54,
"Ambridge borough (Beaver, PA)",Downtown,gains,96.77,15,15,0,1,,14,,,14
"Ambridge borough (Beaver, PA)",Oakland,none either way,96.77,15,15,0,0,,,,,
Arlington-Arlington Heights,Downtown,keeps,166.62,8,8,1,1,48,48,48,,
Arlington-Arlington Heights,Oakland,none either way,166.62,8,8,0,0,,,,,
"Aspinwall borough (Allegheny, PA)",Downtown,keeps,57.47,11,11,2,3,1;91,1L;5;91,91,1,1L;5
"Aspinwall borough (Allegheny, PA)",Oakland,keeps,57.47,11,11,1,1,75,75,75,,
"Avalon borough (Allegheny, PA)",Downtown,keeps,195.43,28,30,2,3,16;19L,14;16;19L,16;19L,,14
"Avalon borough (Allegheny, PA)",Oakland,none either way,195.43,28,30,0,0,,,,,
"Baldwin borough (Allegheny, PA)",Downtown,keeps,242.84,92,30,7,3,44;51;Y1;Y45;Y46;Y47;Y49,46L;49;51,51,44;Y1;Y45;Y46;Y47;Y49,46L;49
"Baldwin borough (Allegheny, PA)",Oakland,none either way,242.84,92,30,0,0,,,,,
Banksville,Downtown,keeps,33.86,13,13,1,1,36,36L,,36,36L
Banksville,Oakland,none either way,33.86,13,13,0,0,,,,,
Bedford Dwellings,Downtown,keeps,187.4,11,12,1,2,83,83;84,83,,84
Bedford Dwellings,Oakland,keeps,187.4,11,12,1,2,83,83;84,83,,84
Beechview,Downtown,keeps,243.3,26,27,3,3,36;41;RED,35;36L;RED,RED,36;41,35;36L
Beechview,Oakland,gains,243.3,26,27,0,1,,35,,,35
"Bellevue borough (Allegheny, PA)",Downtown,keeps,498.72,44,45,3,4,13;16;19L,13;14;16;19L,13;16;19L,,14
"Bellevue borough (Allegheny, PA)",Oakland,none either way,498.72,44,45,0,0,,,,,
Beltzhoover,Downtown,keeps,133.43,37,30,3,3,43;44;48,40;44;48,44;48,43,40
Beltzhoover,Oakland,loses,133.43,37,30,1,0,54,,,54,
"Ben Avon borough (Allegheny, PA)",Downtown,keeps,649.62,15,15,1,2,19L,14;19L,19L,,14
"Ben Avon borough (Allegheny, PA)",Oakland,none either way,649.62,15,15,0,0,,,,,
"Bethel Park municipality (Allegheny, PA)",Downtown,keeps,415.91,25,12,4,3,36;BLUE;RED;SLVR,BLUE;RED;SILVER,BLUE;RED,36;SLVR,SILVER
"Bethel Park municipality (Allegheny, PA)",Oakland,none either way,415.91,25,12,0,0,,,,,
"Blawnox borough (Allegheny, PA)",Downtown,keeps,44.99,13,13,1,1,1,1L,,1,1L
"Blawnox borough (Allegheny, PA)",Oakland,none either way,44.99,13,13,0,0,,,,,
Bloomfield,Downtown,keeps,1560.61,85,75,5,6,77;82;86;87;88,28X;80X;82;86;87;88,82;86;87;88,77,28X;80X
Bloomfield,Oakland,keeps,1560.61,85,75,7,8,54;71A;71C;77;82;93;P3,28X;54;80X;81;82;85;9;P3,54;82;P3,71A;71C;77;93,28X;80X;81;85;9
Bluff,Downtown,keeps,733.79,21,17,16,10,28X;52L;53L;56;57;58;61A;61B;61C;65;67;69;71B;81;82;83,53;56;60X;61X;62X;70;71X;80X;82;83,56;82;83,28X;52L;53L;57;58;61A;61B;61C;65;67;69;71B;81,53;60X;61X;62X;70;71X;80X
Bluff,Oakland,keeps,733.79,21,17,18,11,28X;56;57;58;61A;61B;61C;61D;65;67;69;71A;71B;71C;71D;81;82;83,53;56;60X;61X;62X;70;71X;80X;81;82;83,56;81;82;83,28X;57;58;61A;61B;61C;61D;65;67;69;71A;71B;71C;71D,53;60X;61X;62X;70;71X;80X
Bon Air,Downtown,keeps,9.19,13,2,2,2,BLUE;SLVR,BLUE;SILVER,BLUE,SLVR,SILVER
Bon Air,Oakland,loses,9.19,13,2,1,0,54,,,54,
"Brackenridge borough (Allegheny, PA)",Downtown,loses,4.1,17,13,1,0,P10,,,P10,
