place,kind,day,trips_now,trips_proposed,pct_change,rail_now,rail_proposed
Allegheny Center,neighbourhood,weekday,822,771,-6.2,0,0
Allegheny West,neighbourhood,weekday,132,117,-11.4,0,0
Allentown,neighbourhood,weekday,175,206,17.7,0,0
Arlington,neighbourhood,weekday,38,43,13.2,0,0
Arlington Heights,neighbourhood,weekday,38,43,13.2,0,0
Aspinwall borough,borough,weekday,244,330,35.2,0,0
Avalon borough,borough,weekday,171,218,27.5,0,0
Baldwin borough,borough,weekday,264,170,-35.6,0,0
Banksville,neighbourhood,weekday,40,52,30.0,0,0
Bedford Dwellings,neighbourhood,weekday,56,99,76.8,0,0
Beechview,neighbourhood,weekday,64,61,-4.7,1,1
Bellevue borough,borough,weekday,249,288,15.7,0,0
Beltzhoover,neighbourhood,weekday,190,206,8.4,1,1
Ben Avon borough,borough,weekday,61,52,-14.8,0,0
Bethel Park municipality,municipality,weekday,46,0,-100.0,1,1
Blawnox borough,borough,weekday,63,84,33.3,0,0
Bloomfield,neighbourhood,weekday,702,717,2.1,0,0
Bluff,neighbourhood,weekday,961,680,-29.2,0,0
Bon Air,neighbourhood,weekday,31,0,-100.0,1,1
Brackenridge borough,borough,weekday,10,116,1060.0,0,0
Braddock Hills borough,borough,weekday,293,390,33.1,0,0
Braddock borough,borough,weekday,294,170,-42.2,0,0
Brentwood borough,borough,weekday,336,346,3.0,0,0
Bridgeville borough,borough,weekday,110,54,-50.9,0,0
Brighton Heights,neighbourhood,weekday,315,250,-20.6,0,0
Brookline,neighbourhood,weekday,230,183,-20.4,1,1
California-Kirkbride,neighbourhood,weekday,221,137,-38.0,0,0
Carnegie borough,borough,weekday,248,314,26.6,0,0
Carrick,neighbourhood,weekday,266,258,-3.0,1,1
Castle Shannon borough,borough,weekday,0,0,,1,1
Central Business District,neighbourhood,weekday,4022,4051,0.7,1,1
Central Lawrenceville,neighbourhood,weekday,293,293,0.0,0,0
Central Northside,neighbourhood,weekday,387,373,-3.6,0,0
Central Oakland,neighbourhood,weekday,840,955,13.7,0,0
Chartiers City,neighbourhood,weekday,60,0,-100.0,0,0
Chateau,neighbourhood,weekday,180,98,-45.6,0,0
Cheswick borough,borough,weekday,73,84,15.1,0,0
Churchill borough,borough,weekday,84,94,11.9,0,0
Clairton city,city,weekday,85,70,-17.6,0,0
Collier township,township,weekday,96,104,8.3,0,0
Coraopolis borough,borough,weekday,59,54,-8.5,0,0
Crafton Heights,neighbourhood,weekday,162,205,26.5,0,0
Crafton borough,borough,weekday,357,400,12.0,0,0
Crawford-Roberts,neighbourhood,weekday,495,620,25.3,0,0
Dormont borough,borough,weekday,64,99,54.7,1,1
Dravosburg borough,borough,weekday,106,120,13.2,0,0
Duquesne Heights,neighbourhood,weekday,55,54,-1.8,0,1
Duquesne city,city,weekday,212,212,0.0,0,0
East Allegheny,neighbourhood,weekday,517,558,7.9,0,0
East Carnegie,neighbourhood,weekday,28,27,-3.6,0,0
East Deer township,township,weekday,73,84,15.1,0,0
East Hills,neighbourhood,weekday,207,181,-12.6,0,0
East Liberty,neighbourhood,weekday,917,1084,18.2,0,0
East McKeesport borough,borough,weekday,15,10,-33.3,0,0
East Pittsburgh borough,borough,weekday,165,142,-13.9,0,0
Edgewood borough,borough,weekday,291,371,27.5,0,0
Edgeworth borough,borough,weekday,48,38,-20.8,0,0
Elizabeth borough,borough,weekday,50,14,-72.0,0,0
Elliott,neighbourhood,weekday,394,329,-16.5,0,0
Emsworth borough,borough,weekday,61,52,-14.8,0,0
Esplen,neighbourhood,weekday,183,201,9.8,0,0
Etna borough,borough,weekday,163,117,-28.2,0,0
Fairywood,neighbourhood,weekday,60,54,-10.0,0,0
Findlay township,township,weekday,76,76,0.0,0,0
Fineview,neighbourhood,weekday,25,27,8.0,0,0
Forest Hills borough,borough,weekday,144,77,-46.5,0,0
Fox Chapel borough,borough,weekday,33,49,48.5,0,0
Friendship,neighbourhood,weekday,415,328,-21.0,0,0
Garfield,neighbourhood,weekday,169,169,0.0,0,0
Glassport borough,borough,weekday,35,56,60.0,0,0
Glen Hazel,neighbourhood,weekday,106,122,15.1,0,0
Glen Osborne borough,borough,weekday,48,38,-20.8,0,0
Glenfield borough,borough,weekday,48,38,-20.8,0,0
Green Tree borough,borough,weekday,88,77,-12.5,0,0
Greenfield,neighbourhood,weekday,482,422,-12.4,0,0
Hampton township,township,weekday,48,10,-79.2,0,0
Harmar township,township,weekday,123,152,23.6,0,0
Harrison township,township,weekday,10,32,220.0,0,0
Hays,neighbourhood,weekday,54,54,0.0,0,0
Haysville borough,borough,weekday,24,19,-20.8,0,0
Hazelwood,neighbourhood,weekday,398,410,3.0,0,0
Heidelberg borough,borough,weekday,66,54,-18.2,0,0
Highland Park,neighbourhood,weekday,327,386,18.0,0,0
Homestead borough,borough,weekday,465,474,1.9,0,0
Homewood North,neighbourhood,weekday,182,147,-19.2,0,0
Homewood South,neighbourhood,weekday,508,467,-8.1,0,0
Homewood West,neighbourhood,weekday,317,231,-27.1,0,0
Ingram borough,borough,weekday,335,338,0.9,0,0
Jefferson Hills borough,borough,weekday,91,70,-23.1,0,0
Kennedy township,township,weekday,150,120,-20.0,0,0
Knoxville,neighbourhood,weekday,263,195,-25.9,0,0
Larimer,neighbourhood,weekday,682,914,34.0,0,0
Leetsdale borough,borough,weekday,48,38,-20.8,0,0
Lincoln Place,neighbourhood,weekday,92,88,-4.3,0,0
Lincoln-Lemington-Belmar,neighbourhood,weekday,248,282,13.7,0,0
Lower Lawrenceville,neighbourhood,weekday,574,601,4.7,0,0
Manchester,neighbourhood,weekday,152,89,-41.4,0,0
Marshall-Shadeland,neighbourhood,weekday,278,236,-15.1,0,0
McCandless township,township,weekday,116,145,25.0,0,0
McKees Rocks borough,borough,weekday,209,228,9.1,0,0
McKeesport city,city,weekday,317,414,30.6,0,0
Middle Hill,neighbourhood,weekday,204,273,33.8,0,0
Millvale borough,borough,weekday,99,180,81.8,0,0
Monroeville municipality,municipality,weekday,226,206,-8.8,0,0
Moon township,township,weekday,73,68,-6.8,0,0
Morningside,neighbourhood,weekday,124,133,7.3,0,0
Mount Lebanon township,township,weekday,144,112,-22.2,1,1
