route_id,short_name,pattern,direction,headsign,stop_sequence,stop_uuid,meters_from_start
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",1,e494ca47-4f58-4303-98fa-dda89e8e9eb4,7596.0
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",2,96c5bafd-99cb-4627-87f7-211cbef31248,2418.4
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",3,16f17920-bec6-4ab3-aca0-1f66b61492e1,11083.5
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",4,daf49906-715a-4f33-8697-8a7b022e9242,12559.8
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",5,68923ba2-aadf-4308-bc69-cda35c238190,10484.8
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",6,ef3c42c3-4f00-430f-a65a-642b8c5aae92,1058.0
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",7,6b9945ec-8021-4e11-bd17-18b3bddbf9c2,11945.5
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",8,3f52bb0a-4e8f-4c95-95e3-a0f8b490d30c,6946.4
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",9,df5158e5-89b5-46a4-b2e5-d3864bf3d2ba,11642.5
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",10,421acfe1-cc8d-41ae-a6a1-6eb5cb5bed1c,3185.1
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",11,1984b699-0423-4522-8794-62a7176622c5,6276.8
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",12,2bb66cb3-fbb0-4d2b-9876-225dd481051f,14903.4
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",13,d0ca4f33-af0a-454f-bfb4-3d75efff9445,5623.3
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",14,9ee9dfb8-1823-4240-9e68-0c70fc1d8cc8,4739.1
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",15,56147f0b-a8b5-4dac-a2fe-2524047162a2,533.7
62X,62X,A,Downtown,"DOWNTOWN via Regent Square, Oakland",16,7529b168-c520-4747-aa97-c848dd253429,4525.5
