stop_uuid,gtfs_stop_id,stop_name,lat,lon,wheelchair_boarding
0002dcaf-26b3-4837-800c-100b9ab059e3,20665,PORT PERRY RD + E PITTSBURGH-MCKEESPORT BLVD,40.383401,-79.828345,0
0008a072-aea1-426b-bb4f-1a2769bb3328,1055,THOMPSON RUN RD + CHERRINGTON,40.536466,-79.990282,0
00111806-d14f-468b-b8e4-c261c4ffb459,18472,BROWNSVILLE RD + CEDRICTON FS,40.405027,-79.990736,0
001e863a-43bf-467d-8bba-3580c2f0e561,6408,WEST LIBERTY AVE + #2666,40.397784,-80.027957,0
0020fe28-0af0-4d6a-88d3-766e10e3af77,18720,WEST BUSWAY + INGRAM STATION STOP A,40.443662,-80.066085,0
0021dbf6-44e0-4ede-8bb4-6e59c0d56a4a,1848,CALIFORNIA AVE + CHELLIS ST,40.486167,-80.043436,0
0027197e-2f71-4f1b-ba79-3ad7636acab2,8909,WOOD ST + MOOSEHEART,40.448847,-79.883969,0
002ebfef-2d81-4b61-a4d6-bd5ad66ca589,1104,AMITY DR + LINGAY,40.547661,-79.994705,0
0040bf93-b98e-404e-86be-9c2e7059f1b9,217,CEDAR AVE + NORTH AVE (AGH),40.456112,-80.002532,0
004ba989-b659-46d9-ab93-cd8d2c1b87aa,8128,JAMES ST + TURTLE CREEK-MONROEVILLE,40.424421388,-79.790672929,0
004f148c-7992-4c8e-970e-238bd49a55be,21174,AMANDA ST + ARLINGTON AVE,40.418347,-79.988181,0
005389ab-5dcf-4090-8aef-5e2e92c4df41,10035,LEBANON CHURCH RD + OTT DR FS,40.342936,-79.964138,0
0066748e-ce66-44f6-8422-933b87dfba37,10010386,Perry Hwy + Thompson Dr NS,40.526033669,-80.035538935,0
006afad3-7894-4c04-ac72-2b09684593ef,20826,COLBY ST + REGULUS ST,40.484706,-80.004358,0
00721b14-3e91-4f8c-a2e6-af0c9fb84566,20610,RAVENSBURG BLVD + CLAIRTON MUNICIPAL COMPLEX,40.295828,-79.893824,0
007cd11e-224d-49b1-b2f9-712255423732,20850,MONONGAHELA BLVD + #1224,40.405815,-79.886326,0
00837045-dbdb-454b-8036-bec834cbbe9b,12147,SECOND AVE + RENOVA,40.400976,-79.939411,0
0090ee8c-7e5a-4873-a1ab-816f6108bd39,20599,MONONGAHELA AVE + 6TH ST,40.326105,-79.892537,0
0099d090-bce4-45a4-b8f1-164c071d9b4d,1061,AMITY DR + #212,40.545857,-79.994511,0
00a969df-e5a8-4534-a2df-6e1befe55bdd,13498,BEATTY RD + COLLEGE PARK,40.441799,-79.743065,0
00aeb34a-934d-4320-9890-2cf1f8ad7af7,56,RIDGE AVE + GALVESTON,40.450058,-80.016045,0
00b9bbfe-b8ad-4177-a3f1-6fb3330541a4,6165,CHELTON AVE + OAKRIDGE,40.389858,-80.01477,0
00c353b8-8a1b-4f31-a217-e74173d74d72,15072,CORBET ST + 6TH,40.603123173,-79.752366356,0
00c51287-f571-494f-83a3-c35fd899dbd6,4847,E CARSON ST + 10TH ST,40.428654,-79.988994,0
00cecd86-7c63-478d-bc72-972701c66a05,10010385,Perry Hwy + Rochester Rd NS,40.525945165,-80.035696841,0
00d246b6-16b6-4601-a0a9-a8c668976bf4,8298,HAMILTON AVE + BRUSHTON,40.452717,-79.88891,0
00d5df2c-b7ea-44c0-8d29-d310f34cc61b,1857,SHADELAND AVE + STOKES WAY,40.477308,-80.03356,0
00df945e-86ce-4c89-859e-a749e0a42e7f,21213,MCKNIGHT RD + INTOWN SUITES DRVWY FS,40.505076,-80.009044,0
00e1605e-4ff1-47cb-89c2-d8f205aaec6f,8324,HAMILTON AVE + LASCHALL,40.456745,-79.906999,0
00e1e949-e1f7-449b-916a-31a8c0a0d802,10946,W 5TH AVE + REBECCA,40.350037,-79.873698,0
00e45143-0cff-4ce1-8bce-e46f841fd98a,3128,HIGHLAND AVE + EAST LIBERTY BLVD,40.46648,-79.92259,0
010043a6-e10f-47bd-ac13-9a8986c55c35,2824,ITIN ST + SPRING GARDEN,40.45785,-79.995499,0
011baf69-001e-4286-bf37-ce4c4c456913,18816,FOX CHAPEL RD + MARGERY S,40.489839,-79.882638,0
0121163d-a92d-4ec5-8021-3c609290ddad,9114,FRANKSTOWN AVE + HOMEWOOD AVE,40.457396,-79.89612,0
0128fe1e-a3ea-4d8a-adba-9d25f851c4b0,14311,HULTON RD + 5TH,40.525024,-79.838369,0
012cb27f-f5b8-47b6-8202-08fb32246523,6252,BOWER HILL RD + COOK SCHOOL,40.361157,-80.100196,0
01476478-eb6d-422c-84c0-f5ded02b1be8,21647,HORNING RD + #5621,40.333017,-79.98913,0
014f697c-062b-42cc-9d87-c4c0015f7831,10010457,Haymaker Rd + Old Wm Penn Hwy NS,40.444883074,-79.75913949,0
01525e42-9962-4def-9294-c4d909c0a719,7816,ARDMORE BLVD OPP AVE B- FOREST HILLS PARK AND RIDE,40.4132,-79.845258,0
01565e36-dc14-4ecb-b54f-642b5d34a66a,11916,ELIZA ST + GLENCAIRN,40.389058,-79.875401,0
01608061-26ab-49b8-80ab-abba1c808b80,10885,2ND ST + GRANT,40.37303,-79.846878,0
0171ecd3-63d1-47d1-a6b7-63ff75c326be,18293,OHIO RIVER BLVD + ELIZABETH FS,40.49596,-80.067201,0
01899565-a9e2-49b6-a8d6-fb660e02261d,3278,HIGHLAND AVE + BRYANT CT,40.474412,-79.91879,0
01963ebb-1143-474f-8fe2-9f66f16a8d3c,158,MCKNIGHT RD + IVORY AVE RAMP (ISLAND),40.498345,-80.013054,0
019bf2e8-bfc0-4780-ac68-d703efad9705,2299,VILLAGE DR + LEWIS,40.506603,-80.14016,0
01a0c69b-7678-436d-ad36-4e02474e0cb2,21032,WM PENN HWY + NORTHERN PIKE FS,40.437556,-79.778354,0
01ab1c61-8f95-4945-bee1-09e269801e92,20000,BRINTON RD + BRINTON MANOR DR W,40.411812,-79.854072,0
01ae1132-db25-4b77-8c83-c9e67e8a1887,4255,STEUBEN ST + RINGGOLD FS,40.442395,-80.050716,0
01b518e7-5a54-4d1c-99f2-57b961d51bd7,20517,LOWRIE ST + HOFF ST,40.461989,-79.984108,0
01ba894c-027a-4e3f-b1b3-e2a93629c3eb,7250,MONONGAHELA AVE + #2130,40.417416,-79.887697,0
01bf2277-e3eb-40f4-8340-2d4823479034,1370,BEAVER ST + SYCAMORE,40.52842,-80.161725,0
01bfa195-8bad-4267-916e-3ad6b850fdda,10010284,Campbells Run Rd + Holiday Inn Express,40.443543766,-80.158482785,0
01c2ca7f-5602-47f2-a0d3-e76539ae05ce,16426,AMITY ST + 8TH NS,40.407241,-79.911147,0
01c2f4b6-60f5-42b9-a0bc-09a1d2ddf31c,11041,MAIN ST + WOODLAWN,40.390864,-79.900698,0
01c5b990-0d25-46de-a328-c5432b6d6698,7811,ARDMORE BLVD + BEVINGTON FS,40.426767,-79.862889,0
01c745b2-9926-48b7-b3e9-833f6dec0095,2517,ALICE ST + CAMFIELD,40.410337,-79.997575,0
01cde69f-1235-4906-a675-80d0d4747cab,9152,FRANKSTOWN RD + WOODS RD,40.459716,-79.873906,0
01cf1d34-2079-4959-9ca0-bef3ba7528d5,7153,EDGEWOOD AVE + DELAWARE,40.425625,-79.885681,0
01dc7584-7152-4797-99a5-7d606f021a7a,3414,PARKER ST + HILL,40.494351,-79.956596,0
01e1b031-7c96-4d32-a4d6-d519db22a064,14450,VERONA RD + RAITHEL FS,40.496046,-79.836745,0
01e2eed5-b536-4404-a5a9-6a9095f5428b,21528,CHURCHVIEW GARDEN APARTMENTS,40.386074,-79.93805,0
01f00c42-bd42-4354-b7b0-4c953cadb896,11038,MAIN ST + HOMESTEAD-DUQUESNE,40.395499,-79.899682,0
01f9b8ad-e050-43a4-b860-e6342d5ff2b3,17765,FIFTH AVE RAMP + FIFTH AVE NS,40.455928,-79.910932,0
020f7e3c-0ab7-468e-880d-7d9c58d29f35,7374,EDGEWOOD TOWNE CENTRE + TOWNE CENTRE OFFICES,40.424797,-79.887434,0
021d96e8-0370-4135-8e58-190f951416c5,574,PERRY HWY + CONNIE,40.496533,-80.020025,0
0224a30a-40e8-49b2-b619-01ac186b33fc,6284,BOWER HILL RD + COCHRAN RD,40.384864,-80.053572,0
023b67b1-7946-4947-ae3f-d54ca200c1ac,11583,ST JOSEPH ST + COMO (STEPS),40.413538,-79.979195,0
023db85a-d7c7-41ac-b7cc-8ca6b291fbe9,9761,BROWNSVILLE RD + STREETS RUN,40.346842,-79.986459,0
024ee3b7-4824-4248-aa07-076c24979c75,21443,CALIFORNIA AVE + FORSYTHE ST,40.470636,-80.036096,0
02524216-d4b5-41b1-b76d-4f980dda8e42,20100,EAST LIBERTY BLVD + CENTRE AVE,40.465039,-79.920097,0
