STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
42,001,030101,1,1043,+40.041869,-077.114244
42,001,030101,2,1603,+39.997028,-077.057105
42,001,030103,1,2375,+39.980422,-077.035924
42,001,030104,1,1109,+39.940106,-076.997219
42,001,030104,2,2315,+39.930383,-077.056349
42,001,030200,1,1922,+39.997841,-077.151390
42,001,030200,2,2268,+39.959860,-077.160100
42,001,030200,3,1156,+40.004566,-077.116690
42,001,030300,1,2145,+39.973707,-077.318548
42,001,030300,2,2292,+39.984135,-077.239644
42,001,030400,1,1414,+39.916802,-077.405165
42,001,030400,2,907,+39.923473,-077.298285
42,001,030400,3,1205,+39.877823,-077.308367
42,001,030400,4,1232,+39.873649,-077.358776
42,001,030400,5,785,+39.880961,-077.412865
42,001,030500,1,2140,+39.925778,-077.226779
42,001,030500,2,1635,+39.921322,-077.260524
42,001,030600,1,1495,+39.869692,-077.176230
42,001,030600,2,1328,+39.894975,-077.143895
42,001,030600,3,2028,+39.838672,-077.197646
42,001,030700,1,1446,+39.855885,-077.087704
42,001,030700,2,2158,+39.807945,-077.110032
42,001,030700,3,1758,+39.808973,-077.133799
42,001,030700,4,1062,+39.821573,-077.160607
42,001,030801,1,1704,+39.882056,-076.988404
42,001,030801,2,1721,+39.856641,-076.992211
42,001,030802,1,829,+39.933401,-076.976162
42,001,030802,2,713,+39.938312,-076.982596
42,001,030803,1,1252,+39.904704,-076.996062
42,001,030803,2,1462,+39.894126,-077.042136
42,001,030901,1,1868,+39.862580,-077.056789
42,001,030901,2,1699,+39.870582,-077.056023
42,001,030902,1,1981,+39.860547,-077.039217
42,001,030902,2,2256,+39.846149,-077.051751
42,001,031000,1,2310,+39.817787,-077.027392
42,001,031101,1,1353,+39.802131,-077.024903
42,001,031101,2,1724,+39.805827,-077.015917
42,001,031101,3,2100,+39.803043,-077.004945
42,001,031102,1,3465,+39.795220,-077.034044
42,001,031201,1,1834,+39.798750,-077.179607
42,001,031201,2,385,+39.730171,-077.220483
42,001,031201,3,1570,+39.755833,-077.180449
42,001,031202,1,1344,+39.730205,-077.080575
42,001,031202,2,1500,+39.743393,-077.122279
42,001,031203,1,1717,+39.740116,-077.029962
42,001,031203,2,1338,+39.764447,-077.073928
42,001,031300,1,1465,+39.746453,-077.095499
42,001,031300,2,1815,+39.746557,-077.084205
42,001,031300,3,1523,+39.740027,-077.090651
42,001,031401,1,1077,+39.840428,-077.270184
42,001,031401,2,1192,+39.858501,-077.231942
42,001,031401,3,1452,+39.860153,-077.251237
42,001,031401,4,1024,+39.827227,-077.269241
42,001,031402,1,1008,+39.814299,-077.256036
42,001,031402,2,1280,+39.766091,-077.246632
42,001,031501,1,2100,+39.835619,-077.234165
42,001,031501,2,1057,+39.835447,-077.229046
42,001,031502,1,1092,+39.831227,-077.237058
42,001,031502,2,955,+39.827789,-077.236614
42,001,031502,3,734,+39.822476,-077.235549
42,001,031502,4,1168,+39.830332,-077.226294
42,001,031600,1,997,+39.824902,-077.324459
42,001,031600,2,825,+39.753965,-077.296829
42,001,031600,3,1144,+39.728733,-077.387322
42,001,031600,4,1974,+39.760567,-077.355124
42,001,031600,5,2198,+39.752497,-077.390070
42,001,031700,1,1139,+39.817454,-077.405276
42,001,031700,2,1687,+39.771555,-077.394389
42,003,010301,1,1807,+40.434601,-079.993324
42,003,010302,1,3326,+40.436387,-079.991162
42,003,010302,2,749,+40.437466,-079.980156
42,003,020100,1,1763,+40.438931,-080.002487
42,003,020100,2,1134,+40.442746,-080.003183
42,003,020100,3,710,+40.441466,-079.998117
42,003,020100,4,144,+40.438581,-079.996564
42,003,020100,5,978,+40.443862,-079.997117
42,003,020300,1,1845,+40.456719,-079.979720
42,003,030500,1,1238,+40.444540,-079.985154
42,003,030500,2,1055,+40.440516,-079.982117
42,003,030500,3,748,+40.439667,-079.989367
42,003,040200,1,1044,+40.439298,-079.968619
42,003,040200,2,1490,+40.441074,-079.962082
42,003,040400,1,685,+40.446326,-079.948083
42,003,040400,2,1535,+40.448090,-079.950173
42,003,040500,1,1867,+40.439894,-079.954735
42,003,040500,2,1914,+40.438428,-079.958027
42,003,040600,1,1174,+40.437694,-079.952636
42,003,040600,2,880,+40.435629,-079.954032
42,003,040900,1,1606,+40.435889,-079.961799
42,003,040900,2,1096,+40.432412,-079.955393
42,003,040900,3,624,+40.431051,-079.952629
42,003,050100,1,893,+40.445831,-079.978557
42,003,050100,2,864,+40.449045,-079.969255
42,003,050600,1,685,+40.454955,-079.960342
42,003,050600,2,1038,+40.451564,-079.959091
42,003,050900,1,1386,+40.450489,-079.974695
42,003,051000,1,896,+40.441264,-079.970119
42,003,051000,2,807,+40.446081,-079.965639
42,003,051100,1,617,+40.441816,-079.976695
42,003,060300,1,1012,+40.463321,-079.960547
42,003,060300,2,1629,+40.465531,-079.964946
42,003,060500,1,665,+40.457211,-079.967151
42,003,060500,2,536,+40.458501,-079.961736
42,003,070300,1,692,+40.452755,-079.933572
42,003,070300,2,799,+40.450156,-079.932261
42,003,070300,3,752,+40.450289,-079.936844
42,003,070500,1,1267,+40.455068,-079.927430
42,003,070500,2,752,+40.453970,-079.930848
42,003,070500,3,1021,+40.457114,-079.929611
42,003,070600,1,998,+40.454578,-079.923685
42,003,070600,2,1196,+40.452093,-079.927183
42,003,070800,1,1257,+40.458652,-079.922258
42,003,070800,2,1596,+40.455290,-079.919318
42,003,070900,1,1903,+40.454595,-079.936728
42,003,070900,2,786,+40.451666,-079.947499
42,003,070900,3,762,+40.448451,-079.944658
42,003,070900,4,1536,+40.453130,-079.943324
42,003,080200,1,1037,+40.459702,-079.950122
42,003,080200,2,581,+40.461621,-079.952127
42,003,080400,1,990,+40.457868,-079.944234
42,003,080400,2,684,+40.455228,-079.947963
42,003,080600,1,1324,+40.461542,-079.939654
42,003,080600,2,684,+40.458533,-079.939638
42,003,080700,1,824,+40.462742,-079.933270
42,003,080700,2,1139,+40.458913,-079.935161
42,003,080900,1,997,+40.462964,-079.946516
42,003,080900,2,827,+40.463781,-079.942551
42,003,090100,1,1091,+40.475101,-079.959264
42,003,090100,2,947,+40.471689,-079.962789
42,003,090200,1,855,+40.469641,-079.959173
42,003,090200,2,1194,+40.469068,-079.955917
42,003,090200,3,629,+40.466359,-079.957271
42,003,090300,1,873,+40.464216,-079.950209
42,003,090300,2,668,+40.464546,-079.955120
42,003,100500,1,784,+40.476837,-079.934759
42,003,100500,2,1229,+40.478488,-079.939658
42,003,101100,1,1234,+40.479621,-079.951779
42,003,101100,2,616,+40.481066,-079.952964
42,003,101100,3,544,+40.481283,-079.948571
42,003,101400,1,1105,+40.485751,-079.924941
42,003,101400,2,672,+40.484526,-079.928386
42,003,101400,3,754,+40.475060,-079.929914
42,003,101400,4,721,+40.479918,-079.930014
42,003,101800,1,953,+40.483418,-079.934467
42,003,101800,2,1461,+40.483762,-079.939239
42,003,101900,1,998,+40.470444,-079.938380
42,003,101900,2,867,+40.466704,-079.943579
42,003,101900,3,567,+40.466053,-079.938243
42,003,110200,1,666,+40.478032,-079.919800
42,003,110200,2,708,+40.475754,-079.921431
42,003,110200,3,1162,+40.475400,-079.926393
42,003,110200,4,1251,+40.472537,-079.923096
42,003,110600,1,1013,+40.471114,-079.914448
42,003,110600,2,705,+40.474860,-079.916366
42,003,110600,3,722,+40.470422,-079.918164
42,003,111300,1,713,+40.471118,-079.929348
42,003,111300,2,697,+40.469367,-079.923976
42,003,111300,3,618,+40.467979,-079.925541
42,003,111300,4,630,+40.467741,-079.919563
42,003,111400,1,487,+40.467387,-079.930193
42,003,111400,2,724,+40.466529,-079.933516
42,003,111500,1,1284,+40.460528,-079.930814
42,003,111500,2,1369,+40.464066,-079.925713
42,003,111500,3,876,+40.462326,-079.919125
42,003,120300,1,883,+40.469309,-079.903758
42,003,120300,2,541,+40.466614,-079.900776
42,003,120900,1,565,+40.464128,-079.910378
42,003,120900,2,980,+40.462550,-079.912626
42,003,130200,1,485,+40.458026,-079.891017
42,003,130200,2,543,+40.459960,-079.895512
42,003,130600,1,1010,+40.454769,-079.878567
42,003,130600,2,1882,+40.453519,-079.871847
42,003,130700,1,786,+40.458164,-079.884921
42,003,130700,2,803,+40.461393,-079.895604
42,003,130700,3,642,+40.459670,-079.902950
42,003,130800,1,570,+40.452402,-079.887816
