route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_desc,route_url,continuous_pickup,continuous_drop_off,route_sort_order
62X,PRT,62X,Regent Square-Oakland-Downtown,3,F1C400,000000,,,,,
65,PRT,65,Walnut St-Crawford Village,3,728fa1,FFFFFF,,,,,
70,PRT,70,Wilkins,3,007680,FFFFFF,,,,,
84,PRT,84,Wylie,3,044361,FFFFFF,,,,,
55S,PRT,55,Glassport-McKeesport Short (weekend service),3,728fa1,FFFFFF,,,,,
45,PRT,45,Carrick-Oakland-East Liberty,3,044361,FFFFFF,,,,,
BLUE,PRT,BLUE,South Hills Village,0,2a77ae,FFFFFF,,,,,
12,PRT,12,McKnight,3,728fa1,FFFFFF,,,,,
38,PRT,38,Green Tree,3,044361,FFFFFF,,,,,
46L,PRT,46L,Elizabeth Flyer,3,044361,FFFFFF,,,,,
80X,PRT,80X,East Liberty-Oakland-Downtown,3,F1C400,000000,,,,,4
1L,PRT,1L,Allegheny Flyer,3,044361,FFFFFF,,,,,
23L,PRT,23L,Moon Flyer,3,044361,FFFFFF,,,,,
16,PRT,16,Brighton,3,007680,FFFFFF,,,,,
74,PRT,74,Homewood- Squirrel Hill,3,5c9dbe,FFFFFF,,,,,
93,PRT,93,Glen Hazel-Oakland,3,5c9dbe,FFFFFF,,,,,
9,PRT,9,McCandless-Oakland,3,728fa1,FFFFFF,,,,,
4,PRT,4,Troy Hill,3,5c9dbe,FFFFFF,,,,,
63,PRT,63,Renzie Park - Olympia,3,728fa1,FFFFFF,,,,,
18,PRT,18,Wexford,3,728fa1,FFFFFF,,,,,
26,PRT,26,Chartiers,3,5c9dbe,FFFFFF,,,,,
54,PRT,54,North Side-Oakland-South Side,3,007680,FFFFFF,,,,,
49,PRT,49,Prospect,3,044361,FFFFFF,,,,,
73L,PRT,73L,Holiday Park Flyer,3,044361,FFFFFF,,,,,
57,PRT,57,Hazelwood,3,044361,FFFFFF,,,,,
51,PRT,51,Carrick,3,007680,FFFFFF,,,,,
MI,PRT,MI,Monongahela Incline,7,555555,FFFFFF,,,,,
82,PRT,82,Lincoln,3,007680,FFFFFF,,,,,1
G1,PRT,G1,West Busway,3,37a446,FFFFFF,,,,,
1,PRT,1,Allegheny Valley-East Liberty,3,044361,FFFFFF,,,,,
