stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id,Capital Needs
5403,5403,RACEWAY FIRELANE + SHOP N SAVE,40.387951,-80.09362,,,,0,,,,,,
99981,99981,BEAGLE,40.300507,-80.031418,,,,0,,,,,,
22020,20512,PENN AVE + FAIRMOUNT ST,40.464147,-79.932353,,,,0,,,,,,
16637,16637,CRAFTON INGRAM SHOPPING CENTER + BANK (CITIZENS),40.440389,-80.06969,,,,0,,,,,,
2899,2899,SPRING GARDEN AVE + #1043,40.459212,-79.993701,,,,0,,,,,,
10010385,BLR107,Perry Hwy + Rochester Rd NS,40.5259452,-80.0356968,,0,,0,,,,,,ADA pad
11049,11049,MAIN ST + CAMBRIA,40.381678,-79.906013,,,,0,,,,,,
8450,8450,DEAN ST + LARIMER,40.469236,-79.905671,,,,0,,,,,,
19212,19212,MIDDLETOWN RD + MARTERA FS,40.444161,-80.055995,,,,0,,,,,,
2571,2571,CRAIG ST + PARK PLAZA,40.447868,-79.949477,,,,0,,,,,,
3138,3138,HIGHLAND AVE + WALNUT,40.454233,-79.925407,,,,0,,,,,,
7374,7374,EDGEWOOD TOWNE CENTRE + TOWNE CENTRE OFFICES,40.424797,-79.887434,,,,0,,,,,,
12814,12814,FREEPORT RD + 2ND FS,40.574852,-79.777743,,,,0,,,,,,
1013,1013,CENTER AVE + PERRY HWY FS (STEPS),40.518018,-80.032448,,,,0,,,,,,
8445,8445,LEMINGTON AVE + PAULSON,40.47004,-79.897029,,,,0,,,,,,
7168,7168,HAWKINS AVE + 2ND,40.41191,-79.869939,,,,0,,,,,,
2354,2354,GRAND AVE + GIBSON,40.515198,-80.142285,,,,0,,,,,,
10010231,BLR291,Versailles Ave + Grandview Ave,40.3447911,-79.8365723,,0,,0,,,,,,
11017,11017,LEBANON CHURCH RD + RODEO DR,40.3531982,-79.9171038,,,,0,,,,,,ADA pad
9678,9678,BROWNSVILLE RD + AUDBERT,40.351437,-79.988444,,,,0,,,,,,
18690,18690,MCKNIGHT RD + BRAUNLICH,40.521805,-80.005137,,,,0,,,,,,
123,123,BABCOCK BLVD + DUNCAN AVE,40.567435,-80.016556,,,,0,,,,,,
11685,11685,KENNEDY AVE + PETER,40.367585,-79.855851,,,,0,,,,,,
18523,18523,JAMES ST + MONROEVILLE,40.4090314,-79.8188059,,,,0,,,,,,
20476,20476,CHARTIERS AVE + FURMAN WAY FS,40.453786,-80.064506,,,,0,,,,,,
20399,20399,LARIMER AVE + SHETLAND,40.46611,-79.912315,,,,0,,,,,,
10010523,,Mac Arthur Dr + Lebanon Church Rd NEW,40.3542643,-79.9138537,,0,,0,,,,,,
7680,7680,WILKINS AVE + NEGLEY,40.444004,-79.926113,,,,0,,,,,,
10010339,BLR185,McMonagle Ave + N Meadowcroft Ave,40.400897,-80.0487803,,,,0,,,,,,"ADA pad, Sidewalk connection"
9965,9965,ST CLAIR AVE + 6TH,40.293462,-79.887887,,,,0,,,,,,
25,99982,BEAGLE,40.300909,-80.031477,,,,0,,,,,,
19056,19056,FRANKSTOWN RD + LONG FS,40.465796,-79.83223,,,,0,,,,,,
8178,8178,NEGLEY AVE + WELLESLEY,40.474306,-79.925102,,,,0,,,,,,
10391,10391,WALNUT ST + LINDEN,40.314645,-79.829811,,,,0,,,,,,
10959,19376,BROWNS HILL RD +PARKVIEW BLVD,40.413866,-79.922983,,,,0,,,,,,
10010476,BLR294,Brownlee St + Grandview Ave,40.3487653,-79.8373342,,0,,0,,,,,,
20593,20593,MONONGAHELA AVE + HARRISON ST,40.336731,-79.890196,,,,0,,,,,,
1476,1476,BEAVER RD + RAPP,40.56668,-80.209739,,,,0,,,,,,
