trip_id,route_id,service_id,direction_id,shape_id,trip_headsign,trip_headsign_code,trip_short_name,wheelchair_accessible,bikes_allowed,block_id
Future_BLR_Service-Su-P1-A-SW-1550-0006fb4,P1,Future_BLR_Service-Su,1,P1-A-SW,SWISSVALE via East Busway (All Stops),P1,,0,0,
Future_BLR_Service-Weekday-66-A-HO-0530-00094f0,66,Future_BLR_Service-Weekday,0,66-A-HO,HOMESTEAD via North Versailles,N66,,0,0,
Future_BLR_Service-Weekday-DQI-A-UP-1200-0009d9d,DQI,Future_BLR_Service-Weekday,1,DQI-A-UP,Outbound-Duquesne Incline,,,1,1,
Future_BLR_Service-Weekday-51-A-WE-1411-000b526,51,Future_BLR_Service-Weekday,1,51-A-WE,WEST MIFFLIN via Carrick,D51,,0,0,
Future_BLR_Service-Weekday-80X-A-PO-2114-00133d2,80X,Future_BLR_Service-Weekday,1,80X-A-PO,"WILKINSBURG via Point Breeze, Oakland",X80,,0,0,
Future_BLR_Service-Weekday-73L-A-HO-1500-00266a1,73L,Future_BLR_Service-Weekday,1,73L-A-HO,HOLIDAY PARK,L76,,0,0,
Future_BLR_Service-Weekday-49-A-BA-2301-0027913,49,Future_BLR_Service-Weekday,1,49-A-BA,"WEST MIFFLIN via Whitehall, Brentwood, South Busway",D47,,0,0,
Future_BLR_Service-Sa-57-A-DO-1140-0028ff3,57,Future_BLR_Service-Sa,0,57-A-DO,"DOWNTOWN via Glen Hazel, Hazelwood",D57,,0,0,
Future_BLR_Service-Weekday-6-A-NO-1745-002b6ba,6,Future_BLR_Service-Weekday,1,6-A-NO,NORTH HILLS via Spring Hill,,,0,0,
Future_BLR_Service-Sa-62X-A-DO-0430-003ad18,62X,Future_BLR_Service-Sa,0,62X-A-DO,"DOWNTOWN via Regent Square, Oakland",X65,,0,0,
Future_BLR_Service-Weekday-54-A-SO-2400-003d0f9,54,Future_BLR_Service-Weekday,1,54-A-SO,"SOUTH SIDE via Bloomfield, Oakland",O54,,0,0,
Future_BLR_Service-Sa-RED-A-SO-2120-003eda7,RED,Future_BLR_Service-Sa,1,RED-A-SO,SOUTH HILLS VILLAGE,RD,,1,1,
Future_BLR_Service-Sa-70-A-DO-0530-0043889,70,Future_BLR_Service-Sa,0,70-A-DO,DOWNTOWN via Wilkins Av,D70,,0,0,
Future_BLR_Service-Sa-64-A-HO-1432-00441b0,64,Future_BLR_Service-Sa,1,64-A-HO,HOMESTEAD via East End,N64,,0,0,
Future_BLR_Service-Su-48-A-DO-1900-004d2eb,48,Future_BLR_Service-Su,0,48-A-DO,DOWNTOWN,D48,,0,0,
Future_BLR_Service-Su-G1-A-DO-1420-004da50,G1,Future_BLR_Service-Su,0,G1-A-DO,DOWNTOWN via West Busway (All Stops),G1,,0,0,
Future_BLR_Service-Su-38-A-CO-2000-004de78,38,Future_BLR_Service-Su,1,38-A-CO,CHARTIERS VALLEY via Green Tree Rd,D38,,0,0,
Future_BLR_Service-Su-P1-A-SW-0950-0052c67,P1,Future_BLR_Service-Su,1,P1-A-SW,SWISSVALE via East Busway (All Stops),P1,,0,0,
Future_BLR_Service-Sa-84-A-SO-2403-0057469,84,Future_BLR_Service-Sa,0,84-A-SO,"SOUTH SIDE via Hill District, Oakland",N84,,0,0,
Future_BLR_Service-Sa-51S-A-DO-1100-005e832,51S,Future_BLR_Service-Sa,0,51S-A-DO,DOWNTOWN via Carrick,D51S,,0,0,
Future_BLR_Service-Sa-50-A-HO-1702-005fdae,50,Future_BLR_Service-Sa,1,50-A-HO,HOMESTEAD via Murray Av,O50,,0,0,
Future_BLR_Service-Weekday-P3-A-OA-0430-0063492,P3,Future_BLR_Service-Weekday,0,P3-A-OA,OAKLAND via East Busway (All Stops),P3,,0,0,
Future_BLR_Service-Weekday-MI-A-UP-2115-00654fc,MI,Future_BLR_Service-Weekday,1,MI-A-UP,Outbound-Monongahela Incline,,,1,1,
Future_BLR_Service-Weekday-28X-A-EA-1130-0069256,28X,Future_BLR_Service-Weekday,1,28X-A-EA,"EAST LIBERTY via Downtown, Oakland",X28,,0,0,
Future_BLR_Service-Weekday-29S-A-RO-2159-006a3aa,29S,Future_BLR_Service-Weekday,1,29S-A-RO,"ROBINSON via Crafton, West End",D29S,,0,0,
Future_BLR_Service-Su-P1-A-DO-1520-0070703,P1,Future_BLR_Service-Su,0,P1-A-DO,DOWNTOWN via East Busway (All Stops),P1,,0,0,
Future_BLR_Service-Weekday-91-A-BL-2301-007290b,91,Future_BLR_Service-Weekday,1,91-A-BL,BLAWNOX via Butler St,D91,,0,0,
Future_BLR_Service-Sa-4-Troy_Hill-DO-0700-0075350,4,Future_BLR_Service-Sa,0,4-Troy_Hill-DO,DOWNTOWN,D4,,0,0,
Future_BLR_Service-Su-MI-A-UP-1015-0076fc0,MI,Future_BLR_Service-Su,1,MI-A-UP,Outbound-Monongahela Incline,,,1,1,
Future_BLR_Service-Sa-62X-A-BR-0740-00797b0,62X,Future_BLR_Service-Sa,1,62X-A-BR,"BRADDOCK via Regent Square, Oakland",X65,,0,0,
Future_BLR_Service-Weekday-61X-A-MC-1042-0079c6a,61X,Future_BLR_Service-Weekday,1,61X-A-MC,"MCKEESPORT via Squirrel Hill, Oakland",X61,,0,0,
Future_BLR_Service-Sa-31-A-DO-1200-007aa87,31,Future_BLR_Service-Sa,0,31-A-DO,INBOUND-DOWNTOWN,,,0,0,
Future_BLR_Service-Su-6-A-DO-1500-007bc35,6,Future_BLR_Service-Su,0,6-A-DO,DOWNTOWN via Spring Hill,,,0,0,
Future_BLR_Service-Weekday-27-A-MC-1600-0085b40,27,Future_BLR_Service-Weekday,1,27-A-MC,MCKEES ROCKS via Fairywood,D27,,0,0,
Future_BLR_Service-Weekday-85-A-OA-2230-0087534,85,Future_BLR_Service-Weekday,0,85-A-OA,OAKLAND via Negley-Centre,O85,,0,0,
Future_BLR_Service-Su-68-A-CC-1400-0088fad,68,Future_BLR_Service-Su,1,68-A-CC,CCAC BOYCE via Braddock Hills,N68,,0,0,
Future_BLR_Service-Weekday-27-A-MC-2100-0089037,27,Future_BLR_Service-Weekday,1,27-A-MC,MCKEES ROCKS via Fairywood,D27,,0,0,
Future_BLR_Service-Weekday-57-A-HO-1840-008f4cf,57,Future_BLR_Service-Weekday,1,57-A-HO,"HOMESTEAD via Glen Hazel, Hazelwood",D57,,0,0,
Future_BLR_Service-Su-P1-A-SW-1450-0091435,P1,Future_BLR_Service-Su,1,P1-A-SW,SWISSVALE via East Busway (All Stops),P1,,0,0,
Future_BLR_Service-Su-22-A-DO-1800-00943d4,22,Future_BLR_Service-Su,0,22-A-DO,DOWNTOWN via McCoy Rd,D22,,0,0,
Future_BLR_Service-Weekday-MI-A-UP-0745-009471a,MI,Future_BLR_Service-Weekday,1,MI-A-UP,Outbound-Monongahela Incline,,,1,1,
Future_BLR_Service-Su-28X-A-EA-0715-00a0b11,28X,Future_BLR_Service-Su,1,28X-A-EA,"EAST LIBERTY via Downtown, Oakland",X28,,0,0,
Future_BLR_Service-Weekday-87-A-DO-1730-00a547c,87,Future_BLR_Service-Weekday,0,87-A-DO,"DOWNTOWN via Friendship, Garfield",D87,,0,0,
Future_BLR_Service-Sa-51S-A-BR-1215-00a5c5c,51S,Future_BLR_Service-Sa,1,51S-A-BR,BRENTWOOD via Carrick,D51S,,0,0,
Future_BLR_Service-Su-68-A-WI-1900-00a8c66,68,Future_BLR_Service-Su,0,68-A-WI,WILKINSBURG via Braddock Hills,N68,,0,0,
Future_BLR_Service-Su-31-A-DO-1800-00aa827,31,Future_BLR_Service-Su,0,31-A-DO,INBOUND-DOWNTOWN,,,0,0,
Future_BLR_Service-Weekday-31-A-DO-1740-00ad1e5,31,Future_BLR_Service-Weekday,0,31-A-DO,INBOUND-DOWNTOWN,,,0,0,
Future_BLR_Service-Sa-11-A-DO-0900-00b1f9b,11,Future_BLR_Service-Sa,0,11-A-DO,DOWNTOWN,D11,,0,0,
Future_BLR_Service-Sa-68-A-WI-1100-00b358a,68,Future_BLR_Service-Sa,0,68-A-WI,WILKINSBURG via Braddock Hills,N68,,0,0,
Future_BLR_Service-Weekday-81-A-UP-1540-00b6346,81,Future_BLR_Service-Weekday,0,81-A-UP,"UPTOWN-MERCY via Oakland, Hill District",O81,,0,0,
Future_BLR_Service-Sa-71X-A-HI-1039-00badd3,71X,Future_BLR_Service-Sa,1,71X-A-HI,"HIGHLAND PARK via Oakland, Highland Ave",X71,,0,0,
Future_BLR_Service-Sa-1-A-EA-1800-00bb6ea,1,Future_BLR_Service-Sa,0,1-A-EA,EASY LIBERTY,N1,,0,0,
Future_BLR_Service-Sa-50-A-HO-1342-00bc6d4,50,Future_BLR_Service-Sa,1,50-A-HO,HOMESTEAD via Murray Av,O50,,0,0,
Future_BLR_Service-Weekday-14-A-DO-2000-00bddda,14,Future_BLR_Service-Weekday,0,14-A-DO,DOWNTOWN via Ohio River Bl,D14,,0,0,
Future_BLR_Service-Weekday-57-A-HO-2400-00bf3a7,57,Future_BLR_Service-Weekday,1,57-A-HO,"HOMESTEAD via Glen Hazel, Hazelwood",D57,,0,0,
Future_BLR_Service-Sa-51-A-WE-1316-00c11e5,51,Future_BLR_Service-Sa,1,51-A-WE,WEST MIFFLIN via Carrick,D51,,0,0,
Future_BLR_Service-Weekday-56-A-MC-1040-00c78a8,56,Future_BLR_Service-Weekday,1,56-A-MC,"MCKEESPORT via Lincoln Place, Hazelwood",D56,,0,0,
Future_BLR_Service-Weekday-81-A-UP-1100-00cab87,81,Future_BLR_Service-Weekday,0,81-A-UP,"UPTOWN-MERCY via Oakland, Hill District",O81,,0,0,
Future_BLR_Service-Sa-SILVER-A-LI-2331-00d2882,SILVER,Future_BLR_Service-Sa,1,SILVER-A-LI,LIBRARY STATION,SV,,1,1,
Future_BLR_Service-Su-12-A-MC-2432-00d7108,12,Future_BLR_Service-Su,1,12-A-MC,MCCANDLESS via McKnight Rd,D12S,,0,0,
