Route,Route_Full_Name,Mode,Day_Type,Avg_Riders
1,1 - FREEPORT ROAD,Bus,SAT.,1339.5
11,11 - FINEVIEW,Bus,SAT.,191
12,12 - MCKNIGHT,Bus,SAT.,1081
13,13 - BELLEVUE,Bus,SAT.,1310.25
14,14 - OHIO VALLEY,Bus,SAT.,348.75
15,15 - CHARLES,Bus,SAT.,600.5
16,16 - BRIGHTON,Bus,SAT.,1414.25
17,17 - SHADELAND,Bus,SAT.,388.5
2,2 - MOUNT ROYAL,Bus,SAT.,180.25
20,20 - KENNEDY,Bus,SAT.,280.5
21,21 - CORAOPOLIS,Bus,SAT.,553.25
22,22 - MCCOY,Bus,SAT.,426.5
24,24 - WEST PARK,Bus,SAT.,812
26,26 - CHARTIERS,Bus,SAT.,464.75
27,27 - FAIRYWOOD,Bus,SAT.,452.25
28X,28X - AIRPORT FLYER,Bus,SAT.,1140.75
29,29 - ROBINSON,Bus,SAT.,512
31,31 - BRIDGEVILLE,Bus,SAT.,588.5
36,36 - BANKSVILLE,Bus,SAT.,117.5
38,38 - GREEN TREE,Bus,SAT.,255
39,39 - BROOKLINE,Bus,SAT.,233.75
4,4 - TROY HILL,Bus,SAT.,145.75
40,40 - MOUNT WASHINGTON,Bus,SAT.,181.75
41,41 - BOWER HILL,Bus,SAT.,392
43,43 - BAILEY,Bus,SAT.,213.75
44,44 - VIA KNOXVILLE,Bus,SAT.,341
48,48 - ARLINGTON,Bus,SAT.,1654.25
51,51 - CARRICK,Bus,SAT.,4307
53,53 - HOMESTEAD PARK,Bus,SAT.,260
54,54 - NORTH SIDE-OAKLAND-SOUTH SIDE,Bus,SAT.,2213.25
55,55 - GLASSPORT,Bus,SAT.,707.5
56,56 - LINCOLN PLACE,Bus,SAT.,772.5
57,57 - HAZELWOOD,Bus,SAT.,734.25
58,58 - GREENFIELD,Bus,SAT.,162.5
59,59 - MON VALLEY,Bus,SAT.,1675
6,6 - SPRING HILL,Bus,SAT.,833
60,60 - MCKEESPORT - WALNUT,Bus,SAT.,216
61A,61A - NORTH BRADDOCK,Bus,SAT.,3606.25
61B,61B - BRADDOCK-SWISSVALE,Bus,SAT.,2983.75
61C,61C - MCKEESPORT-HOMESTEAD,Bus,SAT.,4366.5
61D,61D - MURRAY,Bus,SAT.,2113.75
64,64 - LAWRENCEVILLE - WATERFRONT,Bus,SAT.,1758
67,67 - MONROEVILLE,Bus,SAT.,791.75
