stop_id,stop_code,stop_name,stop_lat,stop_lon,mode,mode_type,route_code,MUNI,HOOD,B_W_202505,B_S_202505,B_U_202505,R_W_202505
S70481,10629,EDEN PARK BLVD AT O'NEIL BLVD,40.3474,-79.8323,BUS,BUS,All Routes,"McKeesport city (Allegheny, PA)",,21.33,17.2,9.2,0.05
X12688,5931,OXFORD DR AT GIANT EAGLE,40.3465,-80.0486,BUS,BUS,All Routes,"Bethel Park municipality (Allegheny, PA)",,10.67,1.6,3.4,0.05
E34559,8534,LARIMER AVE OPP WINSLOW ST,40.4658,-79.9134,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Larimer,4,3.4,1,0.19
N45820,2733,RIALTO ST AT LEY ST,40.466,-79.9819,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Troy Hill,9.29,5.6,3.6,0
W70034,17369,MCKEE RD OPP CCAC WEST,40.4372,-80.1915,BUS,BUS,All Routes,"North Fayette township (Allegheny, PA)",,,,,
S35490,19305,ARLINGTON AVE OPP ROANOKE ST,40.4253,-79.9905,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",South Side Slopes,1.43,0.6,0.2,0
N22440,3194,FREEPORT RD OPP #1372,40.4898,-79.8725,BUS,BUS,All Routes,"O'Hara township (Allegheny, PA)",,1.9,0.4,0.8,0
S45000,11585,ST JOSEPH ST AT OTTILLA ST,40.4135,-79.9817,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Mt. Oliver,15.38,11.2,12,0.24
S70430,21490,GREEN LOT AT BROADWAY AVE,40.3461,-79.8284,BUS,BUS,All Routes,"White Oak borough (Allegheny, PA)",,6.19,5.8,6.2,0.05
X07000,15842,GRANDVIEW AVE AT #1209 (DUQUESNE INCLINE),40.4382,-80.0189,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Duquesne Heights,3.43,2.8,1.4,0
X09310,6663,LABELLE ST AT PIERMONT ST,40.4346,-80.016,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Mount Washington,2.52,0.4,1.2,0
X02170,4749,BOWER HILL RD AT LONGRIDGE DR,40.3819,-80.058,BUS,BUS,All Routes,"Mount Lebanon township (Allegheny, PA)",,3.86,2.2,1,0
X15590,6656,RUTLEDGE ST AT REPUBLIC ST,40.4403,-80.0254,BUS,BUS,All Routes,"Pittsburgh city (Allegheny, PA)",Duquesne Heights,0,0.2,0,0
N37190,2710,MT TROY RD AT #3735,40.4919,-79.9939,BUS,BUS,All Routes,"Reserve township (Allegheny, PA)",,0.24,0,0,0
S50180,11198,WORTHINGTON AVE AT 10TH ST,40.292,-79.8936,BUS,BUS,All Routes,"Clairton city (Allegheny, PA)",,2.48,2.2,0.4,0
N40030,1376,OHIO RIVER BLVD AT WALLISTON AVE,40.5119,-80.1032,BUS,BUS,All Routes,"Emsworth borough (Allegheny, PA)",,1.1,0.2,0.2,0
S70456,21225,OLD ELIZABETH RD AT WOODHILL RD,40.3477,-79.9336,BUS,BUS,All Routes,"West Mifflin borough (Allegheny, PA)",,0.24,0,0.4,0
S22275,20185,HOFFMAN BLVD AT CLONMEL ST,40.3828,-79.8669,BUS,BUS,All Routes,"Duquesne city (Allegheny, PA)",,0,0,0,0
N15440,803,CONNIE DR AT JACKS RUN RD,40.4992,-80.0292,BUS,BUS,All Routes,"Ross township (Allegheny, PA)",,1.19,0.2,0,0
