radius_m,cluster_id,place,place_source,primary_street,top_stop_id,top_stop_name,n_stops,span_m,lat,lon,weekday_boardings,saturday_boardings,sunday_boardings,current_routes,stop_ids
400,8407,Lincoln-Lemington-Belmar,boundary,HIGHLAND DR,8407,HIGHLAND DR + JOB CORPS DR,1,0,40.478217,-79.898975,30.5,7.8,5.6,74,8407
400,478,McCandless township,boundary,PRESIDENTIAL DR,22629,PRESIDENTIAL DR AT BABCOCK BLVD FS,3,139,40.586671,-79.999913,19.6,10.0,13.0,O5,478;18699;22629
400,2191,Sewickley borough,boundary,,2191,BANK ST + WALNUT,3,201,40.536907,-80.184798,17.3,7.6,7.6,21,2191;2192;22618
400,4122,Chartiers City,boundary,CHARTIERS AVE,4122,CHARTIERS AVE + KRUPP,4,155,40.458334,-80.069983,16.3,10.4,7.2,27,4122;4123;4180;19215
400,11694,West Mifflin borough,boundary,,22614,HOMEVILLE RD OPP DUQUESNE VILLAGE ENTRANCE #1,14,681,40.363617,-79.869518,15.0,2.2,3.6,52L,11694;11695;11696;11762;11763;11764;11765;21618;21619;22613;22614;22616;22617;22775
400,1785,Perry South,boundary,CHARLES ST,1785,CHARLES ST + IRWIN,2,15,40.466881,-80.01885,11.9,5.6,4.8,15,1785;1811
400,6732,Mount Washington,boundary,,15886,KATHLEEN + HARWOOD,6,268,40.425839,-80.002364,11.1,6.8,3.0,43,6732;6734;15886;15887;19307;19311
400,5931,Bethel Park municipality,boundary,OXFORD DR,5931,OXFORD DR + GIANT EAGLE,2,30,40.346603,-80.048702,11.0,1.6,3.6,36,5931;6018
400,7858,"Trafford borough (Westmoreland, PA)",prt_label,5TH ST,7858,5TH ST + CAVIT,2,80,40.385745,-79.759543,10.5,4.2,3.2,69;P69,7858;20789
400,4121,Windgap,boundary,CHARTIERS AVE,4121,CHARTIERS AVE + MIDDLETOWN,2,52,40.457649,-80.073293,10.1,4.2,4.2,27,4121;4181
400,21543,Carrick,boundary,CUSTER AVE,21543,SPENCER AVE + WATERMAN AVE FS,10,624,40.39321,-79.974084,9.9,0.0,0.0,44,21543;21544;21545;21546;21547;21566;21568;21569;21570;21586
400,15587,McCandless township,boundary,BLAZIER,15587,BLAZIER + GIANT EAGLE,1,0,40.585354,-80.037534,9.8,8.8,4.2,12;O12,15587
400,22839,Ross township,boundary,PERRY HWY,22839,PERRY HWY OPP WASHINGTON BLVD,1,0,40.552532,-80.037792,9.5,4.8,3.4,O12,22839
400,21521,Robinson township,boundary,VILLAGE DR,21521,VILLAGE DR + GROVETON DR,1,0,40.504379,-80.140442,8.8,4.6,6.2,20,21521
400,2299,Robinson township,boundary,VILLAGE DR,2299,VILLAGE DR + LEWIS,1,0,40.506603,-80.14016,8.7,9.0,6.6,20,2299
400,14630,Plum borough,boundary,UNITY TRESTLE RD,14630,UNITY TRESTLE RD + UNIVERSAL RD,2,30,40.490436,-79.783197,7.8,0.0,0.0,77;P16,14630;19798
