current_route,draft2_route,final_route,category,related_routes,route_page
1,N1,1 Allegheny Valley - East Liberty,Modified,"5 Aspinwall (NEW!), 91",https://engage.rideprt.org/buslineredesign/BLR-route-1
2 Mount Royal--DISCONTINUED,-,-,Discontinued,"5 Aspinwall (NEW!), 2L",https://engage.rideprt.org/buslineredesign/BLR-route-2-discontinued
-,N3,3 Natrona Heights - New Kensington,New,,https://engage.rideprt.org/buslineredesign/BLR-route-3
4,D4,4 Troy Hill,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-4
-,D5,5 Aspinwall,New,,https://engage.rideprt.org/buslineredesign/BLR-route-5
6,D6,6 Spring Hill,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-6
7,D7,7 Spring Garden,Modified,4,https://engage.rideprt.org/buslineredesign/BLR-route-7
8,D8,8 Perrysville,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-8
-,O9,9 McCandless - Oakland,New,,https://engage.rideprt.org/buslineredesign/BLR-route-9
11,D11,11 Fineview,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-11
12,D12,12 McKnight,Modified,18 Wexford (NEW!),https://engage.rideprt.org/buslineredesign/BLR-route-12
13,D13,13 Bellevue,Modified,17 Avalon - McKnight Rd (NEW!),https://engage.rideprt.org/buslineredesign/BLR-route-13
14,D14,14 Ohio Valley,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-14
15 Charles--DISCONTINUED,-,-,Discontinued,"8, 11, 16",https://engage.rideprt.org/buslineredesign/BLR-route-15-discontinued
16,D16,16 Brighton,Modified,N/A,https://engage.rideprt.org/buslineredesign/BLR-route-16
17 Shadeland--DISCONTINUED,-,-,Discontinued,14,https://engage.rideprt.org/buslineredesign/BLR-route-17-discontinued
-,N17,17 Avalon - McKnight Rd,New,,https://engage.rideprt.org/buslineredesign/BLR-route-17
18 Manchester--DISCONTINUED,-,-,Discontinued,13,https://engage.rideprt.org/buslineredesign/BLR-route-18-discontinued
