current_routes,proposed_routes,n_current_routes,n_proposed_routes,status,cur_weekday_trips,prop_weekday_trips,cur_weekday_hours,prop_weekday_hours,pct_weekday_trips,pct_weekday_hours,cur_saturday_trips,prop_saturday_trips,cur_saturday_hours,prop_saturday_hours,pct_saturday_trips,pct_saturday_hours,cur_sunday_trips,prop_sunday_trips,cur_sunday_hours,prop_sunday_hours,pct_sunday_trips,pct_sunday_hours,riders_weekday
51,51;51S,1,2,split,210.0,188.0,160.7,164.0,-10.5,2.1,134.0,120.0,107.4,107.3,-10.4,-0.2,86.0,76.0,73.1,75.6,-11.6,3.5,6012.9
P1,P1,1,1,one-to-one,202.0,230.0,86.8,97.3,13.9,12.2,132.0,150.0,55.9,57.3,13.6,2.4,90.0,114.0,38.3,42.3,26.7,10.4,5985.9
61C,61X,1,1,one-to-one,122.0,132.0,142.9,158.7,8.2,11.1,98.0,120.0,100.5,137.0,22.4,36.3,62.0,82.0,64.5,88.9,32.3,37.7,5911.6
61A,60X,1,1,one-to-one,120.0,132.0,139.0,157.4,10.0,13.3,98.0,120.0,100.8,131.9,22.4,30.8,62.0,82.0,66.5,86.4,32.3,29.9,5550.6
71B,71X,1,1,one-to-one,124.0,132.0,94.3,89.7,6.5,-4.9,98.0,120.0,66.0,75.7,22.4,14.6,62.0,82.0,42.1,50.4,32.3,19.7,4531.4
61B,62X,1,1,one-to-one,122.0,166.0,117.9,173.9,36.1,47.5,98.0,120.0,81.2,118.6,22.4,46.0,62.0,82.0,52.7,77.2,32.3,46.6,4058.5
54,54,1,1,one-to-one,109.0,98.0,126.8,99.3,-10.1,-21.7,71.0,72.0,77.8,67.7,1.4,-13.0,49.0,60.0,55.2,56.0,22.4,1.4,3929.8
82,82,1,1,one-to-one,116.0,120.0,93.7,87.6,3.4,-6.5,80.0,90.0,55.0,58.6,12.5,6.6,80.0,74.0,55.1,48.7,-7.5,-11.6,3628.2
77;86,86,2,1,merged,118.0,66.0,122.0,62.9,-44.1,-48.4,106.0,48.0,88.0,43.7,-54.7,-50.3,92.0,32.0,76.7,27.9,-65.2,-63.6,3285.1
75,75,1,1,one-to-one,92.0,98.0,87.0,76.1,6.5,-12.5,60.0,72.0,57.9,56.4,20.0,-2.6,50.0,60.0,49.0,46.2,20.0,-5.8,3165.9
71C,80X,1,1,one-to-one,124.0,132.0,103.1,93.9,6.5,-8.9,98.0,120.0,70.0,77.6,22.4,10.9,62.0,82.0,44.9,50.6,32.3,12.9,3153.0
71A,85,1,1,one-to-one,126.0,128.0,74.3,57.6,1.6,-22.5,98.0,100.0,50.9,40.8,2.0,-19.8,62.0,76.0,32.5,31.0,22.6,-4.5,3054.5
