current_route,final_route,current_days,proposed_days,proposed_days_with_variants,days_lost,days_gained,days_lost_corridor,days_gained_corridor,holiday_only_today,riders_weekday,riders_saturday,riders_sunday
1,1,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1669.7,1339.5,906.5
11,11,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,394.7,191.0,125.8
12,12,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1134.5,1081.0,627.0
13,13,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1540.7,1310.2,522.8
14,14,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,540.6,348.8,239.5
16,16,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,2243.1,1414.2,1151.5
19L,19L,weekday,weekday,weekday,,,,,,248.2,0,0
21,21,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,978.5,553.2,473.2
22,22,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,649.5,426.5,190.8
24,24,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1272.8,812.0,618.8
26,26,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,672.5,464.8,255.0
27,27,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,779.1,452.2,342.0
28X,28X,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1323.2,1140.8,1014.8
29,29,weekday;saturday;sunday,weekday,weekday;saturday;sunday,saturday;sunday,,,,,824.5,512.0,244.0
31,31,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1016.0,588.5,423.5
36,36L,weekday;saturday;sunday,weekday,weekday,saturday;sunday,,saturday;sunday,,,305.7,117.5,57.0
38,38,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,613.5,255.0,159.8
39,39,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,765.5,233.8,108.0
4,4,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,331.3,145.8,87.8
40,40,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,365.3,181.8,112.0
41,35,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,649.6,392.0,221.2
44,44,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,566.5,341.0,171.2
48,48,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,2071.4,1654.2,772.5
51,51,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,6012.9,4307.0,2856.5
52L,52L,weekday,weekday,weekday,,,,,,283.1,0,0
53,53,saturday;sunday,weekday,weekday;saturday;sunday,saturday;sunday,weekday,,weekday,weekday,93.0,260.0,121.0
54,54,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,3929.8,2213.2,1327.8
55,55,weekday;saturday;sunday,weekday,weekday;saturday;sunday,saturday;sunday,,,,,930.3,707.5,550.8
56,56,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1147.7,772.5,505.2
57,57,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,846.7,734.2,595.2
58,58,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,413.5,162.5,110.0
59,59,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,2118.0,1675.0,1235.2
6,6,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1114.2,833.0,563.8
60,65,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,480.9,216.0,145.8
61A,60X,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,5550.6,3606.2,2687.8
61B,62X,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,4058.5,2983.8,2034.2
61C,61X,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,5911.6,4366.5,2873.5
61D,50,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,2956.5,2113.8,1525.8
64,64,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1634.5,1758.0,1043.5
67,67,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1633.7,791.8,691.2
69,69,weekday;saturday;sunday,weekday,weekday;saturday;sunday,saturday;sunday,,,,,1187.5,267.5,181.2
7,7,weekday,weekday,weekday,,,,,,62.8,0,0
71A,85,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,3054.5,1698.0,1164.2
71B,71X,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,4531.4,2888.5,1887.5
71C,80X,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,3153.0,2509.8,1648.8
71D,72,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,2192.8,1505.0,911.0
74,74,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,796.5,314.8,183.0
75,75,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,3165.9,1899.5,1431.8
77,86,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1367.8,835.8,653.0
79,79,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,573.9,596.2,306.5
8,8,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1924.2,1092.5,771.0
81,81,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1217.0,811.8,565.2
82,82,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,3628.2,2496.8,1945.5
83,83,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1392.1,899.5,706.2
86,86,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1917.3,1729.0,1150.2
87,87,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1441.9,747.2,238.0
88,88,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1141.0,826.8,506.8
91,91,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,2516.5,1373.0,835.8
93,93,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1630.6,567.0,430.0
G2,G1,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1387.1,760.8,479.5
G3,23L,weekday,weekday,weekday,,,,,,199.2,0,0
O1,10L,weekday,weekday,weekday,,,,,,285.1,0,0
O12,12L,weekday,weekday,weekday,,,,,,331.2,0,0
P1,P1,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,5985.9,4111.8,2412.5
P10,1L,weekday,weekday,weekday,,,,,,190.8,0,0
P12,73L,weekday,weekday,weekday,,,,,,264.5,0,0
P13,2L,weekday,weekday,weekday,,,,,,52.0,0,0
P16,77L,weekday,weekday,weekday,,,,,,349.6,0,0
P3,P3,weekday,weekday;saturday;sunday,weekday;saturday;sunday,,saturday;sunday,,saturday;sunday,,1907.8,0,0
P68,68,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,1240.4,830.5,726.5
P76,76L,weekday,weekday,weekday,,,,,,270.1,0,0
P78,78,weekday,weekday,weekday;saturday;sunday,,,,saturday;sunday,,834.6,0,0
Y46,46L,weekday;saturday;sunday,weekday,weekday,saturday;sunday,,saturday;sunday,,,882.8,534.5,411.2
Y49,49,weekday;saturday;sunday,weekday;saturday;sunday,weekday;saturday;sunday,,,,,,688.7,524.5,416.5
