day_type,current_route,is_new,draft2_route,final_route,route_name,start_time,end_time,early_4_6a,am_6_9a,mid_9a_3p,pm_3_6p,eve_6_8p,late_8_11p,owl_11p_4a
weekday,1,False,N1,1,Allegheny Valley- East Liberty,5:00 AM,12:30 AM,30,30,30,30,30,60,60
weekday,,True,N3,3,Natrona Heights- New Kensington,6:00 AM,9:00 PM,,60,60,60,60,60,
weekday,4,False,D4,4,Troy Hill,5:30 AM,9:00 PM,40,40,40,40,40,60,
weekday,,True,D5,5,Aspinwall,5:00 AM,11:00 PM,40,30,30,30,40,60,
weekday,6,False,D6,6,Spring Hill,5:00 AM,11:00 PM,40,30,30,30,40,60,
weekday,7,False,D7,7,Spring Garden,5:30 AM,9:00 PM,60,60,60,60,60,60,
weekday,8,False,D8,8,Perrysville,4:30 AM,1:00 AM,30,20,20,20,30,60,60
weekday,,True,O9,9,McCandless-Oakland,5:30 AM,9:00 PM,60,60,60,60,60,60,
weekday,11,False,D11,11,Fineview,5:30 AM,11:00 PM,40,40,40,40,40,60,
weekday,12,False,D12,12,McKnight,5:00 AM,12:30 AM,60,60,60,60,60,60,60
weekday,13,False,D13,13,Bellevue,5:00 AM,12:30 AM,30,30,30,30,30,60,60
weekday,14,False,D14,14,Ohio Valley,5:00 AM,11:00 PM,60,60,60,60,60,60,
weekday,16,False,D16,16,Brighton,4:30 AM,1:00 AM,20,15,20,15,20,30,30
weekday,,True,N17,17,Avalon-McKnight Rd,5:30 AM,11:00 PM,60,60,60,60,60,60,
weekday,,True,D18,18,Wexford,5:00 AM,8:00 PM,60,60,60,60,60,,
weekday,21,False,D21,21,Coraopolis,5:00 AM,11:00 PM,40,40,40,40,40,60,
weekday,22,False,D22,22,McCoy,5:30 AM,11:00 PM,40,40,40,40,40,60,
weekday,24,False,D24,24,West Park,5:00 AM,11:00 PM,40,30,30,30,40,60,
weekday,,True,D25,25,Robinson,5:00 AM,11:00 PM,40,30,40,30,40,60,
weekday,26,False,D26,26,Chartiers,5:30 AM,11:00 PM,40,40,40,40,40,60,
weekday,27,False,D27,27,Fairywood,5:30 AM,11:00 PM,40,40,40,40,40,60,
weekday,29,False,D29,29,North Fayette,5:00 AM,8:00 PM,60,60,60,60,60,,
weekday,29,False,D29S,29S,North Fayette Short (weekend service),6:00 AM,12:30 AM,60,60,60,60,60,60,60
weekday,31,False,D31,31,Noblestown,5:30 AM,11:00 PM,40,40,40,40,40,60,
weekday,,True,N34,34,Carnegie-Brentwood,5:30 AM,11:00 PM,60,60,60,60,60,60,
weekday,41,False,O35,35,Bower Hill-Oakland,5:30 AM,11:00 PM,60,60,60,60,60,60,
weekday,41,False,O35S,35S,Mt Lebanon-Oakland Short,6:00 AM,6:00 PM,,60,,60,,,
weekday,38,False,D38,38,Green Tree,5:30 AM,11:00 PM,30,30,60,30,60,60,
weekday,39,False,D39,39,Brookline,5:30 AM,11:00 PM,40,40,40,40,40,60,
weekday,40,False,D40,40,Mount Washington,5:30 AM,11:00 PM,40,40,40,40,40,60,
