stop_id,stop_name,id_name_mismatch,muni,hood,weekday_boardings,boardings_source,cur_weekday_trips,prop_weekday_trips,pct_change,routes_lost,routes_gained,current_routes,proposed_routes
21173,BROWNSVILLE RD + KNOX AVE,0,"Mount Oliver borough (Allegheny, PA)",,142.48,former_id,306,292,-4.6,51L;54,45,44;51;51L;54,44;45;51;51S
15851,WALMART + SHELTER (N VERSAILLES),0,"North Versailles township (Allegheny, PA)",,141.1,id,103,102,-1.0,55;59,66;68,55;59;P76,66;68;76L
20864,ROBINSON TOWNE CTR DR + PARK MANOR BLVD,0,"Robinson township (Allegheny, PA)",,114.19,former_id,181,166,-8.3,28X,25,24;28X;29,24;25;29;29S
3822,PARK MANOR BLVD + IKEA,0,"Robinson township (Allegheny, PA)",,90.0,id,181,166,-8.3,28X,25,24;28X;29,24;25;29;29S
9263,BUTLER ST + 52ND ST,0,"Pittsburgh city (Allegheny, PA)",Upper Lawrenceville,86.24,id,214,206,-3.7,87;93,81;92,87;91;93,81;91;92
20692,PARK MANOR DR + ROBINSON PLAZA,0,"Robinson township (Allegheny, PA)",,84.14,id,182,196,7.7,28X,25,24;28X;29,24;25;29;29S
9994,BROWNSVILLE RD + WYNOKA ST,0,"Pittsburgh city (Allegheny, PA)",Carrick,73.81,id,283,259,-8.5,51L;54,45,51;51L;54,45;51;51S
9996,BROWNSVILLE RD + MCKINLEY ST,0,"Mount Oliver borough (Allegheny, PA)",,68.9,id,285,258,-9.5,51L;54,45,51;51L;54,45;51;51S
809,PERRYSVILLE AVE + PERRY ACADEMY,0,"Pittsburgh city (Allegheny, PA)",Perry North,67.29,id,167,164,-1.8,15,6,15;8,6;8
17168,PARK MANOR DR + ROBINSON CENTER DR,0,"Robinson township (Allegheny, PA)",,66.9,id,185,196,5.9,28X,25,24;28X;29,24;25;29;29S
20401,CHARTIERS AVE + MCKEES ROCKS PLAZA NS,0,"McKees Rocks borough (Allegheny, PA)",,65.95,id,184,202,9.8,20,27,20;21;22;24,21;22;24;27
14967,BUTLER ST + 51ST (STANTON),0,"Pittsburgh city (Allegheny, PA)",Upper Lawrenceville,61.0,id,216,207,-4.2,87;93,81;92,87;91;93,81;91;92
1534,BRIGHTON RD + WOODS RUN,0,"Pittsburgh city (Allegheny, PA)",Brighton Heights,60.52,id,178,167,-6.2,17,14,16;17,14;16
1536,BRIGHTON RD + SCHIMMER,0,"Pittsburgh city (Allegheny, PA)",Marshall-Shadeland,58.9,id,178,169,-5.1,17,14,16;17,14;16
1528,BRIGHTON RD + BENTON,0,"Pittsburgh city (Allegheny, PA)",Brighton Heights,57.38,id,177,166,-6.2,17,14,16;17,14;16
4817,E CARSON ST + 14TH ST,0,"Pittsburgh city (Allegheny, PA)",South Side Flats,55.52,id,399,414,3.8,54,45;57,48;51;54,45;48;51;51S;57
9704,HWY RT 51 + GREENLEE,0,"Brentwood borough (Allegheny, PA)",,53.48,id,92,88,-4.3,46L;Y1,34,Y1;Y46;Y49,34;49
9978,BROWNSVILLE RD + CHURCHVIEW AVE,0,"Pittsburgh city (Allegheny, PA)",Carrick,50.14,id,270,258,-4.4,44;51L,45,44;51;51L,45;51;51S
7629,PENN AVE + BRADDOCK,0,"Pittsburgh city (Allegheny, PA)",Point Breeze North,49.19,id,225,234,4.0,67;69;80X,58;70;88,67;69;71C,58;70;88
2667,BROWNSVILLE RD + MCKINLEY ST,0,"Pittsburgh city (Allegheny, PA)",Knoxville,46.14,id,285,259,-9.1,51L;54,45,51;51L;54,45;51;51S
7051,HAWKINS AVE + 4TH,0,"North Braddock borough (Allegheny, PA)",,46.1,id,173,167,-3.5,59;60X,62X,59;61A,62X
2666,BROWNSVILLE RD + KNOX AVE,0,"Pittsburgh city (Allegheny, PA)",Knoxville,45.9,id,328,325,-0.9,51L;54,45,44;51;51L;54,44;45;51;51S
1530,BRIGHTON RD + DAVIS,0,"Pittsburgh city (Allegheny, PA)",Brighton Heights,41.76,id,178,168,-5.6,17,14,16;17,14;16
18308,BRIGHTON RD + MARSHALL NS,0,"Pittsburgh city (Allegheny, PA)",Marshall-Shadeland,41.76,id,178,166,-6.7,17,14,16;17,14;16
8312,FIFTH AVE + HIGHLAND,0,"Pittsburgh city (Allegheny, PA)",Shadyside,39.81,id,400,427,6.8,28X,45;74,28X;64;71B;71D,45;64;71X;72;74
135,MCKNIGHT RD + ROSS TOWNE CENTER,0,"Ross township (Allegheny, PA)",,39.24,id,104,108,3.8,2,18;9,12;2;O12,12;12L;18;9
579,PERRYSVILLE AVE + FRANKLIN,0,"Pittsburgh city (Allegheny, PA)",Perry North,38.38,id,167,164,-1.8,15,6,15;8,6;8
14969,BUTLER ST + 48TH,0,"Pittsburgh city (Allegheny, PA)",Central Lawrenceville,38.33,id,217,208,-4.1,87;93,81;92,87;91;93,81;91;92
577,PERRYSVILLE AVE + BASCOM,0,"Pittsburgh city (Allegheny, PA)",Perry North,38.1,id,172,164,-4.7,17,6,17;8,6;8
3140,HIGHLAND AVE + 5TH,0,"Pittsburgh city (Allegheny, PA)",Shadyside,36.52,id,400,427,6.8,28X,45;74,28X;64;71B;71D,45;64;71X;72;74
8317,FIFTH AVE + SHADY,0,"Pittsburgh city (Allegheny, PA)",Squirrel Hill North,34.76,id,398,360,-9.5,28X,45;74,28X;64;71B;71D,45;64;71X;72;74
3991,PARK MANOR BLVD + ROBINSON LN,0,"Robinson township (Allegheny, PA)",,34.62,id,183,196,7.1,28X,25,24;28X;29,24;25;29;29S
1539,BRIGHTON RD + WOODLAND,0,"Pittsburgh city (Allegheny, PA)",Marshall-Shadeland,33.62,id,177,168,-5.1,17,14,16;17,14;16
2531,MCKINLEY AVE + BROWNSVILLE,0,"Pittsburgh city (Allegheny, PA)",Knoxville,30.05,id,285,258,-9.5,51L;54,45,51;51L;54,45;51;51S
6999,BELTZHOOVER AVE + WARRINGTON AVE FS,0,"Pittsburgh city (Allegheny, PA)",Beltzhoover,30.0,id,208,210,1.0,43;54,40,43;44;48;54,40;44;48
7901,PENN AVE + FINDLEY DR WEST (BEACON HILL),0,"Wilkinsburg borough (Allegheny, PA)",,29.52,id,86,94,9.3,P67,73L,67;P16;P67,67;73L;77L
4767,WARRINGTON AVE + ESTELLA AVE,0,"Pittsburgh city (Allegheny, PA)",Beltzhoover,29.33,id,209,208,-0.5,43;54,40,43;44;48;54,40;44;48
1535,BRIGHTON RD + WADLOW,0,"Pittsburgh city (Allegheny, PA)",Marshall-Shadeland,29.1,id,178,168,-5.6,17,14,16;17,14;16
