stop_id,stop_name,muni,hood,lat,lon,status,metres_to_nearest_proposed_stop,weekday_boardings,saturday_boardings,sunday_boardings,current_routes,boardings_source
19514,STANWIX ST AT PENN AVE FS,"Pittsburgh city (Allegheny, PA)",Central Business District,40.442748,-80.004257,kept,0,1300.67,696.0,505.4,13;16;17;19L;20;21;22;24;26;27;29;31;36;38;8;G3;G31,id
7280,SMITHFIELD ST AT SIXTH AVE,"Pittsburgh city (Allegheny, PA)",Central Business District,40.441684,-79.997611,kept,0,1158.76,714.8,447.2,39;40;41;44;P12;P16;P67;P68;P71,id
20182,7TH ST AT PENN AVE,"Pittsburgh city (Allegheny, PA)",Central Business District,40.443323,-80.000347,kept,0,992.67,614.4,446.4,1;11;12;13;15;16;17;2;6;8;86;87;88;91,id
99998,ALLEGHENY STATION,"Pittsburgh city (Allegheny, PA)",Chateau,40.44789,-80.017787,kept,0,797.86,1230.2,549.8,BLUE;RED;SLVR,id
45,LIBERTY AVE AT MARKET ST,"Pittsburgh city (Allegheny, PA)",Central Business District,40.308545,-80.033333,kept,0,787.57,350.8,247.0,SLVR,id
15880,EAST BUSWAY AT WILKINSBURG STATION C,"Wilkinsburg borough (Allegheny, PA)",,40.446887,-79.888646,kept,0,772.67,442.6,300.4,P1;P3,id
10,STEEL PLAZA STATION,"Pittsburgh city (Allegheny, PA)",Central Business District,40.439562,-79.995332,kept,0,731.33,213.2,184.0,BLUE;RED;SLVR,former_id
38,FIFTH AVE AT CHESTERFIELD RD,"Pittsburgh city (Allegheny, PA)",West Oakland,40.439483,-79.961698,kept_nearby,106,712.9,325.8,227.4,28X;54;58;61A;61B;61C;61D;67;69;71A;71B;71C;71D;75;81;83;93;P3,id
22728,SMITHFIELD ST AT FIFTH AVE,"Pittsburgh city (Allegheny, PA)",Central Business District,40.50914,-80.085108,kept,0,626.71,325.8,222.6,19L,id
8161,EAST BUSWAY AT EAST LIBERTY STATION C,"Pittsburgh city (Allegheny, PA)",Shadyside,40.459448,-79.923137,kept,0,598.24,292.2,212.8,P1;P17;P3;P68;P71,id
11186,LIBERTY AVE AT FIFTH AVE,"Pittsburgh city (Allegheny, PA)",Central Business District,40.441797,-80.002514,kept,0,575.48,246.2,172.6,28X;29;31;65;67;69;77;G3;G31;P10;P17;P69;P7;P76;P78,id
15284,LIBERTY AVE AT SMITHFIELD ST,"Pittsburgh city (Allegheny, PA)",Central Business District,40.443186,-79.996792,kept,0,547.1,261.0,147.6,29;31;39;40;41;44;G3;G31,former_id
7279,LIBERTY AVE AT 10TH ST NS,"Pittsburgh city (Allegheny, PA)",Central Business District,40.44381,-79.994892,kept,0,524.19,231.0,202.2,1;11;12;15;2;39;40;41;44;6;P10;P12;P16;P17;P67;P68;P69;P7;P71;P76;P78,id
21711,WOOD ST BTW FORBES AVE & FIFTH AVE,"Pittsburgh city (Allegheny, PA)",Central Business District,40.440292,-80.00064,kept,0,509.48,297.8,229.2,39;40;41;43;44;48;51;81;82;83;Y46;Y47;Y49,former_id
4832,WOOD ST AT SIXTH AVE,"Pittsburgh city (Allegheny, PA)",Central Business District,40.441801,-79.999643,kept,0,490.86,260.8,158.6,39;40;41;43;44;48;51;81;82;83;Y46;Y47;Y49,id
1510,GRANT ST AT US STEEL STOP A,"Pittsburgh city (Allegheny, PA)",Central Business District,40.441202,-79.99536,kept,0,488.14,179.8,99.0,P1,id
1410,LIBERTY AVE AT 6TH ST,"Pittsburgh city (Allegheny, PA)",Central Business District,40.442127,-80.001396,kept,0,475.24,297.4,161.8,13;16;17;19L;8,id
23103,WOOD STREET STATION,"Pittsburgh city (Allegheny, PA)",Central Business District,40.442145,-79.99973,kept,0,471.86,301.8,243.4,61A;61B;61C;71B;G2;P1,former_id
4838,SMITHFIELD ST AT FORBES AVE,"Pittsburgh city (Allegheny, PA)",Central Business District,40.439558,-79.999055,kept,0,468.24,281.2,159.6,39;40;41;43;44;48;51;Y46;Y47;Y49,id
110,NORTH SIDE STATION,"Pittsburgh city (Allegheny, PA)",North Shore,40.447859,-80.009498,kept,0,448.0,536.2,424.8,BLUE;RED;SLVR,former_id
15285,LIBERTY AVE AT WILLIAM PENN PL,"Pittsburgh city (Allegheny, PA)",Central Business District,40.443544,-79.99539,kept,0,431.38,167.0,120.4,1;11;12;15;2;6;86;87;88;91;P10;P17;P69;P7;P76;P78,id
29,FORBES AVE AT ATWOOD ST,"Pittsburgh city (Allegheny, PA)",Central Oakland,40.440987,-79.957685,kept_nearby,120,427.38,306.0,191.0,28X;58;61A;61B;61C;61D;67;69,id
22298,SEVENTH AVE AT WILLIAM PENN PL,"Pittsburgh city (Allegheny, PA)",Central Business District,40.442563,-79.996139,kept,0,408.76,131.4,91.8,19L;28X;65;67;69;77;81;82;83;O1;O12;O5,former_id
7117,FORBES AVE OPP MOREWOOD AVE (CARNEGIE MELLON),"Pittsburgh city (Allegheny, PA)",Squirrel Hill North,40.444458,-79.942291,kept,0,407.14,236.2,159.8,61A;61B;61C;61D;67;69,id
7096,FORBES AVE AT MURRAY AVE FS,"Pittsburgh city (Allegheny, PA)",Squirrel Hill North,40.438095,-79.923523,kept,0,399.9,347.8,277.6,61A;61B;61C;61D,id
111,GATEWAY STATION,"Pittsburgh city (Allegheny, PA)",Central Business District,40.44142,-80.003978,kept,0,389.95,419.6,390.6,BLUE;RED;SLVR,former_id
213,7TH ST AT FT DUQUESNE BLVD,"Pittsburgh city (Allegheny, PA)",Central Business District,40.444445,-80.000735,kept,0,375.52,201.8,152.8,1;11;12;15;2;4;6;7;P13,id
16281,WALMART DRVWY AT SHELTER (WEST MIFFLIN),"West Mifflin borough (Allegheny, PA)",,40.341259,-79.944847,kept,0,374.38,346.0,244.0,51;53;53L;55;59;Y47;Y49,id
22287,LIBERTY AVE AT TITO WAY,"Pittsburgh city (Allegheny, PA)",Central Business District,40.442792,-79.99861,kept,0,360.1,161.6,111.8,1;11;12;15;19L;2;28X;4;6;7;77;P10;P13;P17;P69;P7;P76;P78,former_id
