place,anchor,origin_source,origin_points,origin_population,origin_centre_lat,origin_centre_lon,dest_lat,dest_lon,headline_current_median_min,headline_current_best_min,headline_current_worst_min,headline_current_reachable_fraction,headline_current_median_transfers,headline_current_median_wait_min,headline_proposed_median_min,headline_proposed_best_min,headline_proposed_worst_min,headline_proposed_reachable_fraction,headline_proposed_median_transfers,headline_proposed_median_wait_min,strict_current_median_min,strict_current_best_min,strict_current_worst_min,strict_current_reachable_fraction,strict_current_median_transfers,strict_current_median_wait_min,strict_proposed_median_min,strict_proposed_best_min,strict_proposed_worst_min,strict_proposed_reachable_fraction,strict_proposed_median_transfers,strict_proposed_median_wait_min,headline_current_origin_coverage_fraction,headline_current_dest_access_stops,headline_proposed_origin_coverage_fraction,headline_proposed_dest_access_stops,strict_current_origin_coverage_fraction,strict_current_dest_access_stops,strict_proposed_origin_coverage_fraction,strict_proposed_dest_access_stops,headline_classification,strict_classification,change_headline_min,change_strict_min,sign_flips_between_radii,spread_headline_min
Allegheny Center,Downtown,residents,2,4391.0,40.455235,-80.008924,40.440773,-79.999105,19.9,12.9,28.9,1.0,0,2.3,20.9,11.3,33.0,1.0,0,2.5,19.9,12.9,28.9,1.0,0,2.3,20.9,11.3,33.0,1.0,0,2.5,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,1.0,1.0,False,0.4
Allegheny Center,Oakland,residents,2,4391.0,40.455235,-80.008924,40.443719,-79.958853,46.0,33.2,57.2,1.0,1,6.9,42.2,29.2,58.2,1.0,1,8.6,48.0,33.2,59.2,1.0,1,9.6,44.2,29.2,58.2,1.0,1,11.3,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-3.8,-3.8,False,1.0
Allegheny West,Downtown,residents,1,540.0,40.452309,-80.016453,40.440773,-79.999105,25.0,19.9,34.3,1.0,0,4.4,23.9,15.5,33.9,1.0,1,4.6,25.0,19.9,34.3,1.0,0,4.4,23.9,15.5,33.9,1.0,1,4.6,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-1.1,-1.1,False,
Allegheny West,Oakland,residents,1,540.0,40.452309,-80.016453,40.443719,-79.958853,50.2,40.2,60.2,1.0,1,9.5,45.2,34.2,56.2,1.0,2,11.0,52.2,43.2,60.2,1.0,2,13.0,46.2,34.2,56.2,1.0,2,12.7,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-5.0,-6.0,False,
Allentown,Downtown,residents,3,2305.0,40.421565,-79.99339,40.440773,-79.999105,31.4,18.4,50.4,1.0,0,7.8,29.4,19.4,46.0,1.0,0,7.5,31.4,18.4,50.4,1.0,0,8.0,29.4,19.4,46.0,1.0,0,7.5,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-2.0,-2.0,False,2.0
Allentown,Oakland,residents,3,2305.0,40.421565,-79.99339,40.443719,-79.958853,47.2,33.2,65.2,1.0,0,10.9,44.2,35.2,54.2,1.0,1,8.7,48.2,33.2,65.2,1.0,0,12.3,45.2,35.2,54.2,1.0,1,8.4,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-3.0,-3.0,False,1.0
"Ambridge borough (Beaver, PA)",Downtown,residents,9,11241.0,40.588574,-80.229419,40.440773,-79.999105,89.3,63.3,115.3,0.305,1,28.6,109.9,79.5,141.5,0.305,0,29.3,89.3,63.3,115.3,0.305,1,28.6,109.9,79.5,141.5,0.305,0,29.3,0.305,42,0.305,38,0.305,42,0.305,38,comparable,comparable,20.6,20.6,False,0.0
"Ambridge borough (Beaver, PA)",Oakland,residents,9,11241.0,40.588574,-80.229419,40.443719,-79.958853,114.2,88.2,139.2,0.305,2,35.0,129.2,98.2,162.2,0.305,1,36.5,114.2,88.2,139.2,0.305,2,34.3,129.2,98.2,162.2,0.305,2,37.1,0.305,14,0.305,11,0.305,14,0.305,11,comparable,comparable,15.0,15.0,False,0.0
Arlington-Arlington Heights,Downtown,residents,1,2666.0,40.414432,-79.972292,40.440773,-79.999105,44.4,34.4,60.5,1.0,1,12.1,39.4,32.4,50.4,1.0,1,9.0,44.4,34.4,60.5,1.0,1,13.1,40.0,32.4,53.0,1.0,1,8.4,1.0,42,1.0,38,1.0,42,1.0,38,comparable,comparable,-5.0,-4.4,False,
Arlington-Arlington Heights,Oakland,residents,1,2666.0,40.414432,-79.972292,40.443719,-79.958853,50.2,39.2,70.2,1.0,1,13.9,44.2,35.2,54.2,1.0,1,12.0,50.2,39.2,70.2,1.0,1,14.9,44.2,35.2,54.2,1.0,1,13.0,1.0,14,1.0,11,1.0,14,1.0,11,comparable,comparable,-6.0,-6.0,False,
