place,anchor,geoid,lat,lon,population,headline_current_median_min,headline_current_reachable_fraction,headline_current_access_stops,headline_proposed_median_min,headline_proposed_reachable_fraction,headline_proposed_access_stops,strict_current_median_min,strict_current_reachable_fraction,strict_current_access_stops,strict_proposed_median_min,strict_proposed_reachable_fraction,strict_proposed_access_stops,change_headline_min
Allegheny Center,Downtown,420035627002,40.451882,-80.00517,1419.0,16.2,1.0,18,15.9,1.0,15,16.2,1.0,18,15.9,1.0,15,-0.3
Allegheny Center,Downtown,420035651001,40.456836,-80.010717,2972.0,21.9,1.0,14,22.0,1.0,13,21.9,1.0,14,22.0,1.0,13,0.1
Allegheny Center,Oakland,420035627002,40.451882,-80.00517,1419.0,41.1,1.0,18,37.4,1.0,15,44.1,1.0,18,39.4,1.0,15,-3.7
Allegheny Center,Oakland,420035651001,40.456836,-80.010717,2972.0,46.1,1.0,14,43.4,1.0,13,49.1,1.0,14,45.4,1.0,13,-2.7
Allegheny West,Downtown,420035627001,40.452309,-80.016453,540.0,25.0,1.0,17,23.9,1.0,10,25.0,1.0,17,23.9,1.0,10,-1.1
Allegheny West,Oakland,420035627001,40.452309,-80.016453,540.0,49.1,1.0,17,44.4,1.0,10,51.1,1.0,17,46.4,1.0,10,-4.7
Allentown,Downtown,420031803001,40.423422,-79.994066,1032.0,31.4,1.0,18,28.4,1.0,11,32.4,1.0,18,28.4,1.0,11,-3.0
Allentown,Downtown,420031803002,40.420821,-79.99289,677.0,29.4,1.0,15,28.4,1.0,13,29.4,1.0,15,28.4,1.0,13,-1.0
Allentown,Downtown,420031803003,40.419196,-79.992787,596.0,32.4,1.0,19,31.4,1.0,15,32.4,1.0,19,31.4,1.0,15,-1.0
Allentown,Oakland,420031803001,40.423422,-79.994066,1032.0,48.1,1.0,18,44.4,1.0,11,49.1,1.0,18,44.4,1.0,11,-3.7
Allentown,Oakland,420031803002,40.420821,-79.99289,677.0,46.1,1.0,15,44.4,1.0,13,47.1,1.0,15,44.4,1.0,13,-1.7
Allentown,Oakland,420031803003,40.419196,-79.992787,596.0,47.1,1.0,19,43.4,1.0,15,47.1,1.0,19,43.4,1.0,15,-3.7
"Ambridge borough (Beaver, PA)",Downtown,420076039002,40.59357,-80.215043,1532.0,,0.0,0,,0.0,0,,0.0,0,,0.0,0,
